time,acceleration,light,temperature,sound
"11/7/2009 12:23:16",0.90,191.28,10.25,0
"11/7/2009 12:23:17",0.90,276.22,9.93,0
"11/7/2009 12:23:18",0.86,259.52,10.25,0
"11/7/2009 12:23:19",0.82,253.93,9.93,0
"11/7/2009 12:23:20",0.90,122.70,9.93,0
"11/7/2009 12:23:21",0.90,84.55,9.93,0
"11/7/2009 12:23:22",0.78,227.59,10.25,0
"11/7/2009 12:23:23",0.82,216.19,10.25,0
"11/7/2009 12:23:24",0.82,185.49,9.93,0
"11/7/2009 12:23:26",0.90,138.57,10.25,0
"11/7/2009 12:23:27",0.86,74.40,9.93,0
"11/7/2009 12:23:28",0.78,72.36,10.25,0
"11/7/2009 12:23:29",0.82,78.46,10.25,0
"11/7/2009 12:23:30",0.86,74.40,9.93,0
"11/7/2009 12:23:31",0.86,86.57,9.93,0
"11/7/2009 12:23:32",0.78,90.61,9.93,0
"11/7/2009 12:23:33",0.86,183.56,9.93,0
"11/7/2009 12:23:34",0.82,321.83,9.93,0
"11/7/2009 12:23:35",0.82,303.72,10.25,0
"11/7/2009 12:23:36",0.82,389.01,10.25,0
"11/7/2009 12:23:37",0.86,208.56,9.93,0
"11/7/2009 12:23:38",0.82,154.33,9.93,0
