time,light,volts
04/12/2010 12:23:44,257.66,2.158064516129032258064516129032258
04/12/2010 12:23:45,257.66,2.158064516129032258064516129032258
04/12/2010 12:23:46,255.79,2.158064516129032258064516129032258
04/12/2010 12:23:47,253.93,2.154838709677419354838709677419355
04/12/2010 12:23:48,257.66,2.154838709677419354838709677419355
04/12/2010 12:23:49,255.79,2.154838709677419354838709677419355
04/12/2010 12:23:50,255.79,2.154838709677419354838709677419355
04/12/2010 12:23:51,255.79,2.154838709677419354838709677419355
04/12/2010 12:23:52,255.79,2.154838709677419354838709677419355
04/12/2010 12:23:53,259.52,2.154838709677419354838709677419355
04/12/2010 12:23:55,263.25,2.154838709677419354838709677419355
04/12/2010 12:23:56,261.39,2.154838709677419354838709677419355
04/12/2010 12:23:57,259.52,2.154838709677419354838709677419355
