time,latitude,longitude,acceleration,light,temperature,sound,temperature probe,altitude
06/28/2010 16:24:54,42.657063,-71.312965,0.90,1012.03,27.01,5,30.798796872709915966386554621848739,17
06/28/2010 16:24:55,42.657047,-71.312965,0.86,1003.21,27.01,2,30.798796872709915966386554621848739,18
06/28/2010 16:24:56,42.657032,-71.31295,0.86,1000.53,27.01,3,30.798796872709915966386554621848739,17
06/28/2010 16:24:57,42.657032,-71.31295,0.86,1000.53,27.01,5,30.798796872709915966386554621848739,17
06/28/2010 16:24:58,42.657047,-71.31295,0.86,1000.53,27.01,7,30.798796872709915966386554621848739,16
06/28/2010 16:24:59,42.657047,-71.31295,0.86,1000.53,27.01,12,30.798796872709915966386554621848739,14
06/28/2010 16:25:00,42.657063,-71.31295,0.90,1000.53,27.01,7,30.798796872709915966386554621848739,14
06/28/2010 16:25:01,42.657063,-71.31295,0.86,1000.53,27.01,5,30.798796872709915966386554621848739,14
06/28/2010 16:25:02,42.657063,-71.31295,0.86,1000.53,27.01,4,30.798796872709915966386554621848739,12
06/28/2010 16:25:04,42.65708,-71.312935,0.86,999.63,27.33,6,30.798796872709915966386554621848739,11
06/28/2010 16:25:05,42.657097,-71.31291,0.86,1000.53,27.01,10,30.798796872709915966386554621848739,9
06/28/2010 16:25:06,42.657112,-71.31291,0.90,999.63,27.01,2,30.798796872709915966386554621848739,6
06/28/2010 16:25:07,42.657112,-71.31291,0.90,887.72,27.01,5,30.798796872709915966386554621848739,7
06/28/2010 16:25:08,42.657112,-71.31291,0.86,663.41,27.33,5,30.798796872709915966386554621848739,7
06/28/2010 16:25:09,42.657112,-71.31291,0.82,907.23,27.33,11,30.798796872709915966386554621848739,7
06/28/2010 16:25:10,42.657112,-71.31291,0.82,915.71,27.33,7,30.714883776515429769392033542976939,7
06/28/2010 16:25:11,42.657097,-71.312935,0.86,914.66,27.33,8,30.714883776515429769392033542976939,9
06/28/2010 16:25:12,42.65708,-71.31295,0.82,913.60,27.33,13,30.714883776515429769392033542976939,13
06/28/2010 16:25:13,42.65708,-71.31295,0.86,912.55,27.33,4,30.798796872709915966386554621848739,14
06/28/2010 16:25:14,42.65708,-71.31295,0.82,910.43,27.33,6,30.798796872709915966386554621848739,15
06/28/2010 16:25:15,42.657063,-71.31298,0.82,910.43,27.33,4,30.798796872709915966386554621848739,18
06/28/2010 16:25:16,42.657063,-71.312965,0.86,910.43,27.33,8,30.798796872709915966386554621848739,17
06/28/2010 16:25:18,42.657063,-71.31298,0.82,910.43,27.33,5,30.798796872709915966386554621848739,19
06/28/2010 16:25:19,42.657063,-71.31298,0.82,909.36,27.33,6,30.798796872709915966386554621848739,20
06/28/2010 16:25:20,42.657047,-71.312996,0.86,908.30,27.33,4,30.798796872709915966386554621848739,21
06/28/2010 16:25:21,42.657047,-71.312996,0.82,907.23,27.33,1,30.798796872709915966386554621848739,23
06/28/2010 16:25:22,42.657047,-71.312996,0.82,906.16,27.33,3,30.798796872709915966386554621848739,24
06/28/2010 16:25:23,42.657032,-71.313034,0.82,902.95,27.33,6,30.798796872709915966386554621848739,28
06/28/2010 16:25:24,42.657032,-71.313034,0.82,876.63,27.33,4,30.798796872709915966386554621848739,27
06/28/2010 16:25:25,42.657032,-71.31301,0.90,830.47,27.33,13,30.798796872709915966386554621848739,27
06/28/2010 16:25:26,42.657017,-71.312996,0.86,832.85,27.33,6,30.798796872709915966386554621848739,25
06/28/2010 16:25:27,42.656982,-71.312996,0.86,851.60,27.33,5,30.798796872709915966386554621848739,27
06/28/2010 16:25:28,42.656933,-71.31298,0.82,988.72,27.33,6,30.798796872709915966386554621848739,28
06/28/2010 16:25:29,42.656902,-71.31298,0.98,983.17,27.33,9,30.798796872709915966386554621848739,29
06/28/2010 16:25:30,42.656853,-71.31298,0.86,826.89,27.33,7,30.882577986184210526315789473684211,29
06/28/2010 16:25:32,42.656803,-71.312996,0.94,801.39,27.33,10,30.882577986184210526315789473684211,29
06/28/2010 16:25:33,42.656746,-71.313034,0.86,901.87,27.33,14,30.882577986184210526315789473684211,30
06/28/2010 16:25:34,42.656696,-71.3131,0.70,1004.99,27.33,14,30.882577986184210526315789473684211,31
06/28/2010 16:25:35,42.65665,-71.31316,0.98,1011.16,27.33,11,30.798796872709915966386554621848739,32
06/28/2010 16:25:36,42.65658,-71.31325,0.82,1011.16,27.33,13,30.882577986184210526315789473684211,33
06/28/2010 16:25:37,42.656536,-71.31332,0.98,1003.21,27.33,13,30.882577986184210526315789473684211,33
06/28/2010 16:25:38,42.656487,-71.313385,0.90,1007.65,27.33,3,30.882577986184210526315789473684211,34
06/28/2010 16:25:39,42.656437,-71.31344,0.90,1012.91,27.33,5,30.882577986184210526315789473684211,34
06/28/2010 16:25:40,42.656395,-71.3135,0.82,1012.91,27.33,6,30.882577986184210526315789473684211,34
06/28/2010 16:25:41,42.65638,-71.313515,0.86,1012.91,27.33,9,30.882577986184210526315789473684211,34
06/28/2010 16:25:42,42.65638,-71.31353,0.90,1012.91,27.33,10,30.882577986184210526315789473684211,34
06/28/2010 16:25:43,42.656364,-71.31353,0.86,1010.28,27.33,5,30.882577986184210526315789473684211,34
06/28/2010 16:25:45,42.656364,-71.31355,0.86,1010.28,27.33,5,30.798796872709915966386554621848739,33
06/28/2010 16:25:46,42.656364,-71.31355,0.86,1008.53,27.33,13,30.882577986184210526315789473684211,33
06/28/2010 16:25:47,42.65635,-71.31358,0.86,1008.53,27.33,10,30.882577986184210526315789473684211,33
06/28/2010 16:25:48,42.656315,-71.313614,0.94,1011.16,27.33,18,30.882577986184210526315789473684211,33
06/28/2010 16:25:49,42.656284,-71.31367,0.86,1009.41,27.33,11,30.882577986184210526315789473684211,33
06/28/2010 16:25:50,42.656235,-71.31372,0.94,1010.28,27.33,27,30.882577986184210526315789473684211,33
06/28/2010 16:25:51,42.656185,-71.31377,0.59,1003.21,27.33,13,30.882577986184210526315789473684211,32
06/28/2010 16:25:52,42.656136,-71.313835,0.90,1014.65,27.33,19,30.882577986184210526315789473684211,32
06/28/2010 16:25:53,42.656013,-71.31398,0.90,1010.28,27.33,21,30.882577986184210526315789473684211,32
06/28/2010 16:25:54,42.65595,-71.31407,0.98,1011.16,27.66,20,30.882577986184210526315789473684211,32
06/28/2010 16:25:55,42.655884,-71.314156,0.74,1004.99,27.33,16,30.882577986184210526315789473684211,31
06/28/2010 16:25:56,42.655804,-71.31423,1.02,1004.99,27.33,17,30.966227303295527426160337552742616,31
06/28/2010 16:25:57,42.655712,-71.31433,0.82,1003.21,27.33,16,30.966227303295527426160337552742616,32
06/28/2010 16:25:59,42.655647,-71.31444,0.78,839.93,27.33,26,30.966227303295527426160337552742616,33
06/28/2010 16:26:00,42.655567,-71.31454,0.94,863.09,27.33,11,30.966227303295527426160337552742616,33
06/28/2010 16:26:01,42.655483,-71.31463,0.98,904.02,27.33,13,30.966227303295527426160337552742616,33
06/28/2010 16:26:02,42.655403,-71.31473,0.70,839.93,27.66,21,30.966227303295527426160337552742616,33
06/28/2010 16:26:03,42.655315,-71.314835,0.78,881.09,27.33,14,30.966227303295527426160337552742616,32
06/28/2010 16:26:04,42.655216,-71.31493,0.59,922.00,27.33,12,30.966227303295527426160337552742616,31
06/28/2010 16:26:05,42.655136,-71.31505,0.94,867.63,27.66,25,30.966227303295527426160337552742616,31
06/28/2010 16:26:06,42.65503,-71.315155,0.98,863.09,27.66,22,30.966227303295527426160337552742616,32
06/28/2010 16:26:07,42.654865,-71.31536,0.78,911.49,27.66,19,30.966227303295527426160337552742616,31
06/28/2010 16:26:08,42.65477,-71.31548,0.86,911.49,27.33,14,30.966227303295527426160337552742616,31
06/28/2010 16:26:09,42.65468,-71.31558,1.02,857.37,27.66,21,30.966227303295527426160337552742616,31
06/28/2010 16:26:10,42.654583,-71.3157,0.86,883.31,27.66,20,30.966227303295527426160337552742616,31
06/28/2010 16:26:12,42.6545,-71.3158,0.59,900.79,27.66,20,30.966227303295527426160337552742616,31
06/28/2010 16:26:13,42.65442,-71.3159,1.05,871.02,27.66,27,30.966227303295527426160337552742616,30
06/28/2010 16:26:14,42.654312,-71.31602,0.74,881.09,27.66,15,30.966227303295527426160337552742616,30
06/28/2010 16:26:15,42.654232,-71.31612,0.66,887.72,27.66,25,30.966227303295527426160337552742616,30
06/28/2010 16:26:16,42.654133,-71.31624,1.02,922.00,27.66,17,30.966227303295527426160337552742616,30
06/28/2010 16:26:17,42.654053,-71.31633,0.94,1031.64,27.33,15,30.966227303295527426160337552742616,30
06/28/2010 16:26:18,42.653946,-71.31643,0.74,1033.30,27.33,22,30.966227303295527426160337552742616,29
06/28/2010 16:26:19,42.653866,-71.316536,0.86,1033.30,27.33,11,30.966227303295527426160337552742616,29
06/28/2010 16:26:20,42.653767,-71.316635,0.94,1033.30,27.66,14,30.966227303295527426160337552742616,29
06/28/2010 16:26:21,42.653564,-71.31834,0.82,1033.30,27.66,8,30.966227303295527426160337552742616,29
06/28/2010 16:26:22,42.653465,-71.31917,0.86,1032.47,27.66,8,30.966227303295527426160337552742616,29
06/28/2010 16:26:23,42.653355,-71.32,0.90,1031.64,27.66,12,30.966227303295527426160337552742616,29
06/28/2010 16:26:24,42.653248,-71.321,0.90,1032.47,27.66,18,30.966227303295527426160337552742616,29
06/28/2010 16:26:26,42.65315,-71.32183,0.82,1032.47,27.66,17,30.966227303295527426160337552742616,29
06/28/2010 16:26:27,42.653053,-71.32266,0.74,1032.47,27.66,14,30.966227303295527426160337552742616,30
06/28/2010 16:26:28,42.652946,-71.32366,0.86,1031.64,27.66,12,31.049745011977040169133192389006342,30
06/28/2010 16:26:29,42.652866,-71.3245,0.94,1030.81,27.66,6,30.966227303295527426160337552742616,30
06/28/2010 16:26:30,42.652767,-71.32533,0.86,1031.64,27.66,6,31.049745011977040169133192389006342,30
06/28/2010 16:26:31,42.652668,-71.326164,0.74,1019.82,27.33,11,30.966227303295527426160337552742616,31
06/28/2010 16:26:32,42.652565,-71.327,1.17,680.32,27.66,36,30.966227303295527426160337552742616,31
06/28/2010 16:26:33,42.652466,-71.328,0.86,584.08,27.66,10,30.966227303295527426160337552742616,31
06/28/2010 16:26:34,42.652367,-71.328835,0.78,792.72,27.66,12,30.966227303295527426160337552742616,31
06/28/2010 16:26:35,42.652164,-71.330666,1.09,900.79,27.66,19,30.966227303295527426160337552742616,31
06/28/2010 16:26:36,42.652065,-71.331505,0.82,1029.97,27.66,11,30.966227303295527426160337552742616,30
06/28/2010 16:26:37,42.65197,-71.332504,1.05,1030.81,27.66,26,30.966227303295527426160337552742616,29
06/28/2010 16:26:38,42.651863,-71.31835,0.78,1024.93,27.66,13,30.966227303295527426160337552742616,28
06/28/2010 16:26:40,42.651768,-71.318436,0.90,1028.30,27.66,14,30.966227303295527426160337552742616,27
06/28/2010 16:26:41,42.65167,-71.31851,0.74,1027.46,27.66,15,30.966227303295527426160337552742616,26
06/28/2010 16:26:42,42.665665,-71.31859,0.98,1025.77,27.66,23,30.966227303295527426160337552742616,25
06/28/2010 16:26:43,42.6645,-71.31867,0.82,1024.93,27.33,22,30.966227303295527426160337552742616,25
06/28/2010 16:26:44,42.66333,-71.31872,0.94,990.56,27.66,10,30.966227303295527426160337552742616,25
06/28/2010 16:26:45,42.662167,-71.31878,0.86,1014.65,27.66,22,30.966227303295527426160337552742616,26
06/28/2010 16:26:46,42.661167,-71.31883,0.98,1002.32,27.66,6,30.966227303295527426160337552742616,27
06/28/2010 16:26:47,42.66,-71.31888,0.78,713.37,27.66,20,30.966227303295527426160337552742616,27
06/28/2010 16:26:48,42.659,-71.318954,0.78,1030.81,27.66,10,30.966227303295527426160337552742616,27
06/28/2010 16:26:49,42.657333,-71.31907,0.74,939.46,27.66,7,30.966227303295527426160337552742616,27
06/28/2010 16:26:50,42.6565,-71.31913,0.86,1030.81,27.66,25,30.966227303295527426160337552742616,27
06/28/2010 16:26:51,42.655834,-71.3192,0.78,1033.30,27.66,24,30.966227303295527426160337552742616,26
06/28/2010 16:26:52,42.654995,-71.319244,0.62,1034.13,27.66,11,30.966227303295527426160337552742616,27
06/28/2010 16:26:54,42.65433,-71.31932,0.70,1034.95,27.66,10,30.966227303295527426160337552742616,28
06/28/2010 16:26:55,42.65367,-71.31937,0.82,1036.60,27.66,8,30.966227303295527426160337552742616,29
06/28/2010 16:26:56,42.652832,-71.31942,0.78,1035.78,27.66,17,30.966227303295527426160337552742616,30
06/28/2010 16:26:57,42.652164,-71.319435,0.86,1032.47,27.66,16,30.966227303295527426160337552742616,30
06/28/2010 16:26:58,42.664997,-71.319405,0.86,1032.47,27.66,9,30.966227303295527426160337552742616,31
06/28/2010 16:26:59,42.658333,-71.31935,0.82,1030.81,27.66,7,30.966227303295527426160337552742616,32
06/28/2010 16:27:00,42.653336,-71.319244,0.86,1029.97,27.66,12,30.966227303295527426160337552742616,33
06/28/2010 16:27:01,42.649967,-71.31913,0.82,1029.97,27.66,15,30.966227303295527426160337552742616,33
06/28/2010 16:27:02,42.649918,-71.319016,0.86,1029.97,27.66,20,30.966227303295527426160337552742616,34
06/28/2010 16:27:03,42.64978,-71.31873,0.82,1029.97,27.66,10,30.966227303295527426160337552742616,36
06/28/2010 16:27:04,42.6497,-71.31859,0.82,1029.14,27.66,14,30.966227303295527426160337552742616,36
06/28/2010 16:27:05,42.649635,-71.318436,0.74,1029.97,27.66,11,30.966227303295527426160337552742616,36
06/28/2010 16:27:06,42.64955,-71.332664,0.62,1029.14,27.66,29,30.966227303295527426160337552742616,36
06/28/2010 16:27:08,42.649487,-71.33117,0.74,1025.77,27.66,19,30.966227303295527426160337552742616,36
06/28/2010 16:27:09,42.6494,-71.3295,0.86,1029.14,27.66,13,30.882577986184210526315789473684211,37
06/28/2010 16:27:10,42.649315,-71.327835,0.90,1028.30,27.66,17,30.882577986184210526315789473684211,37
06/28/2010 16:27:11,42.649235,-71.326164,0.86,1027.46,27.66,11,30.882577986184210526315789473684211,37
