time,temperature,temperature probe
07/21/2010 11:33:55,36.04,32.041762692151887201735357917570499
07/21/2010 11:34:06,35.71,32.041762692151887201735357917570499
07/21/2010 11:34:17,35.39,32.041762692151887201735357917570499
07/21/2010 11:34:28,35.39,32.041762692151887201735357917570499
07/21/2010 11:34:39,35.07,31.959809028748398268398268398268398
07/21/2010 11:34:49,34.75,32.041762692151887201735357917570499
07/21/2010 11:35:00,35.07,32.041762692151887201735357917570499
07/21/2010 11:35:11,35.39,32.123587341565217391304347826086957
07/21/2010 11:35:22,35.07,32.123587341565217391304347826086957
07/21/2010 11:35:33,35.07,32.123587341565217391304347826086957
07/21/2010 11:35:44,35.07,32.123587341565217391304347826086957
07/21/2010 11:35:55,35.39,32.041762692151887201735357917570499
07/21/2010 11:36:06,35.39,32.123587341565217391304347826086957
