time,light,temperature,temperature probe
09/09/2010 08:25:31,806.31,21.86,16.0751
09/09/2010 08:25:32,806.31,21.86,16.0751
09/09/2010 08:25:33,806.31,21.86,15.96265
09/09/2010 08:25:34,806.31,21.86,15.96265
09/09/2010 08:25:35,806.31,21.86,16.0751
09/09/2010 08:25:36,806.31,21.86,16.0751
09/09/2010 08:25:38,806.31,21.86,15.96265
09/09/2010 08:25:39,806.31,21.86,15.96265
09/09/2010 08:25:40,806.31,21.86,15.96265
09/09/2010 08:25:41,806.31,21.86,16.0751
09/09/2010 08:25:42,806.31,21.86,16.18755
09/09/2010 08:25:43,806.31,21.86,16.0751
09/09/2010 08:25:44,807.54,21.53,15.96265
09/09/2010 08:25:45,806.31,21.86,16.18755
09/09/2010 08:25:46,806.31,21.86,16.18755
09/09/2010 08:25:47,807.54,21.53,16.18755
09/09/2010 08:25:47,807.54,21.53,16.18755
09/09/2010 08:25:49,806.31,21.53,16.3000
09/09/2010 08:25:50,807.54,21.53,16.41245
09/09/2010 08:25:52,807.54,21.53,16.5249
09/09/2010 08:25:53,807.54,21.53,16.63735
09/09/2010 08:25:54,807.54,21.53,16.7498
09/09/2010 08:25:55,807.54,21.53,16.86225
09/09/2010 08:25:56,806.31,21.53,16.86225
09/09/2010 08:25:57,807.54,21.86,16.9747
09/09/2010 08:25:58,807.54,21.53,16.9747
09/09/2010 08:25:59,807.54,21.53,16.9747
09/09/2010 08:26:00,807.54,21.53,16.9747
09/09/2010 08:26:01,807.54,21.53,16.9747
09/09/2010 08:26:02,807.54,21.53,16.9747
09/09/2010 08:26:03,807.54,21.53,16.7498
09/09/2010 08:26:04,807.54,21.53,16.63735
09/09/2010 08:26:06,807.54,21.53,16.5249
09/09/2010 08:26:07,807.54,21.53,16.5249
09/09/2010 08:26:08,807.54,21.86,16.63735
09/09/2010 08:26:09,807.54,21.53,16.7498
09/09/2010 08:26:10,807.54,21.53,16.86225
09/09/2010 08:26:11,807.54,21.53,16.86225
09/09/2010 08:26:12,807.54,21.53,16.9747
09/09/2010 08:26:13,807.54,21.53,17.08715
09/09/2010 08:26:14,807.54,21.86,16.9747
09/09/2010 08:26:15,807.54,21.53,16.9747
09/09/2010 08:26:16,807.54,21.53,17.08715
09/09/2010 08:26:17,807.54,21.53,17.08715
09/09/2010 08:26:19,807.54,21.53,16.9747
09/09/2010 08:26:20,807.54,21.53,16.86225
09/09/2010 08:26:21,807.54,21.53,16.7498
09/09/2010 08:26:22,807.54,21.53,16.63735
09/09/2010 08:26:23,807.54,21.53,16.5249
09/09/2010 08:26:24,807.54,21.53,16.63735
09/09/2010 08:26:25,807.54,21.53,16.7498
09/09/2010 08:26:26,807.54,21.53,16.7498
09/09/2010 08:26:27,807.54,21.53,16.86225
09/09/2010 08:26:28,807.54,21.53,16.86225
09/09/2010 08:26:29,807.54,21.53,16.86225
09/09/2010 08:26:30,807.54,21.53,16.9747
09/09/2010 08:26:31,807.54,21.53,16.9747
09/09/2010 08:26:33,807.54,21.53,17.08715
09/09/2010 08:26:34,807.54,21.53,17.08715
09/09/2010 08:26:35,807.54,21.53,17.08715
09/09/2010 08:26:36,807.54,21.53,16.9747
09/09/2010 08:26:37,807.54,21.53,17.08715
09/09/2010 08:26:38,807.54,21.53,16.9747
09/09/2010 08:26:39,807.54,21.53,16.9747
09/09/2010 08:26:40,807.54,21.53,16.86225
09/09/2010 08:26:41,807.54,21.53,16.86225
09/09/2010 08:26:42,807.54,21.53,16.7498
09/09/2010 08:26:43,807.54,21.53,16.63735
09/09/2010 08:26:44,807.54,21.53,16.5249
09/09/2010 08:26:46,807.54,21.53,16.41245
09/09/2010 08:26:47,807.54,21.53,16.3000
09/09/2010 08:26:48,807.54,21.53,16.18755
09/09/2010 08:26:49,807.54,21.53,16.18755
09/09/2010 08:26:50,807.54,21.53,16.18755
09/09/2010 08:26:51,807.54,21.53,16.0751
09/09/2010 08:26:52,807.54,21.53,15.96265
09/09/2010 08:26:53,807.54,21.53,15.96265
09/09/2010 08:26:54,807.54,21.53,15.96265
09/09/2010 08:26:55,807.54,21.53,15.8502
09/09/2010 08:26:55,807.54,21.53,15.8502
09/09/2010 08:26:57,807.54,21.53,15.8502
09/09/2010 08:26:58,807.54,21.53,15.8502
09/09/2010 08:27:00,807.54,21.53,15.8502
09/09/2010 08:27:01,807.54,21.53,15.8502
09/09/2010 08:27:02,807.54,21.86,15.8502
09/09/2010 08:27:03,807.54,21.53,15.73775
09/09/2010 08:27:04,807.54,21.53,15.8502
09/09/2010 08:27:05,807.54,21.53,15.8502
09/09/2010 08:27:06,807.54,21.53,15.8502
09/09/2010 08:27:07,807.54,21.86,15.8502
09/09/2010 08:27:08,807.54,21.53,15.8502
09/09/2010 08:27:09,807.54,21.53,15.8502
09/09/2010 08:27:10,807.54,21.53,15.8502
09/09/2010 08:27:11,807.54,21.86,15.96265
09/09/2010 08:27:12,807.54,21.86,15.96265
09/09/2010 08:27:14,807.54,21.86,15.96265
09/09/2010 08:27:15,807.54,21.86,15.96265
09/09/2010 08:27:16,807.54,21.86,15.8502
09/09/2010 08:27:17,807.54,21.86,15.8502
09/09/2010 08:27:18,807.54,21.86,15.8502
09/09/2010 08:27:19,807.54,21.86,15.8502
09/09/2010 08:27:20,807.54,21.86,15.96265
09/09/2010 08:27:21,807.54,21.86,15.96265
09/09/2010 08:27:22,806.31,21.86,15.8502
09/09/2010 08:27:23,807.54,21.86,15.8502
09/09/2010 08:27:23,806.31,21.86,15.8502
09/09/2010 08:27:25,806.31,21.86,15.8502
09/09/2010 08:27:26,806.31,21.86,15.8502
09/09/2010 08:27:28,806.31,21.86,15.8502
09/09/2010 08:27:29,806.31,21.86,15.8502
09/09/2010 08:27:30,806.31,21.86,15.8502
09/09/2010 08:27:31,806.31,21.86,15.8502
09/09/2010 08:27:32,806.31,21.86,15.8502
09/09/2010 08:27:33,806.31,21.86,15.8502
09/09/2010 08:27:34,806.31,21.86,15.8502
