time,acceleration,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",0.90,806.31,15.73,0,14.5008
"3/30/2128 20:00:00",0.94,807.54,15.73,0,14.61325
"3/30/2128 20:00:00",0.78,824.50,15.73,0,14.83815
"3/30/2128 20:00:00",0.78,820.89,15.73,0,14.9506
"3/30/2128 20:00:00",1.02,830.47,15.73,0,15.28795
"4/7/2000 20:02:34",0.00,812.42,16.05,0,16.7498
"3/30/2128 20:00:00",0.82,831.66,16.05,0,16.9747
"3/30/2128 20:00:00",0.78,832.85,16.05,0,17.1996
"3/30/2128 20:00:00",1.05,822.10,16.05,0,17.1996
"3/30/2128 20:00:00",1.02,811.20,16.05,0,17.08715
"3/30/2128 20:00:00",0.82,823.30,16.05,0,17.31205
"3/30/2128 20:00:00",0.66,832.85,16.38,0,17.4245
"3/30/2128 20:00:00",0.78,832.85,16.05,0,17.76185
"3/30/2128 20:00:00",1.13,828.09,16.38,0,17.76185
"3/30/2128 20:00:00",1.05,832.85,16.38,0,17.8743
"3/30/2128 20:00:00",0.86,831.66,16.70,0,17.98675
"4/7/2000 20:02:34",0.00,812.42,16.05,0,16.7498
"3/30/2128 20:00:00",0.82,831.66,16.05,0,16.9747
"3/30/2128 20:00:00",0.78,832.85,16.05,0,17.1996
"3/30/2128 20:00:00",1.05,822.10,16.05,0,17.1996
"3/30/2128 20:00:00",1.02,811.20,16.05,0,17.08715
"3/30/2128 20:00:00",0.82,823.30,16.05,0,17.31205
"3/30/2128 20:00:00",0.66,832.85,16.38,0,17.4245
"3/30/2128 20:00:00",0.78,832.85,16.05,0,17.76185
"3/30/2128 20:00:00",1.13,828.09,16.38,0,17.76185
"3/30/2128 20:00:00",1.05,832.85,16.38,0,17.8743
"3/30/2128 20:00:00",0.86,831.66,16.70,0,17.98675
"4/7/2000 20:02:24",0.00,817.27,17.02,0,17.31205
"3/30/2128 20:00:00",0.90,816.06,17.02,0,17.53695
"3/30/2128 20:00:00",0.90,818.48,17.02,0,17.6494
"3/30/2128 20:00:00",0.90,818.48,17.02,0,17.76185
"3/30/2128 20:00:00",0.86,817.27,17.02,0,18.21165
"3/30/2128 20:00:00",0.90,824.50,17.02,0,18.88635
"3/30/2128 20:00:00",0.94,818.48,17.02,0,19.33615
"3/30/2128 20:00:00",0.90,824.50,17.02,0,19.2237
"3/30/2128 20:00:00",0.94,817.27,17.02,0,19.11125
"3/30/2128 20:00:00",0.90,820.89,17.02,0,18.88635
"3/30/2128 20:00:00",0.90,817.27,17.34,0,18.88635
"4/7/2000 20:02:24",0.00,817.27,17.02,0,17.31205
"3/30/2128 20:00:00",0.90,816.06,17.02,0,17.53695
"3/30/2128 20:00:00",0.90,818.48,17.02,0,17.6494
"3/30/2128 20:00:00",0.90,818.48,17.02,0,17.76185
"3/30/2128 20:00:00",0.86,817.27,17.02,0,18.21165
"3/30/2128 20:00:00",0.90,824.50,17.02,0,18.88635
"3/30/2128 20:00:00",0.94,818.48,17.02,0,19.33615
"3/30/2128 20:00:00",0.90,824.50,17.02,0,19.2237
"3/30/2128 20:00:00",0.94,817.27,17.02,0,19.11125
"3/30/2128 20:00:00",0.90,820.89,17.02,0,18.88635
"3/30/2128 20:00:00",0.90,817.27,17.34,0,18.88635
"4/7/2000 20:03:04",0.00,811.20,17.99,0,17.4245
"3/30/2128 20:00:00",0.94,816.06,18.31,0,17.1996
"3/30/2128 20:00:00",0.98,812.42,18.31,0,17.53695
"3/30/2128 20:00:00",0.98,819.69,18.31,0,17.98675
"3/30/2128 20:00:00",0.90,814.85,18.31,0,18.43655
"3/30/2128 20:00:00",0.86,796.45,18.31,0,18.7739
"3/30/2128 20:00:00",0.90,809.98,18.31,0,18.5490
"3/30/2128 20:00:00",0.90,820.89,18.31,0,18.5490
"3/30/2128 20:00:00",0.86,822.10,18.31,0,18.66145
"3/30/2128 20:00:00",1.02,808.76,18.31,0,18.5490
"3/30/2128 20:00:00",0.98,816.06,18.31,0,18.43655
"4/7/2000 20:03:04",0.00,811.20,17.99,0,17.4245
