time,latitude,longitude,acceleration,light,temperature,sound
341,,,1.45,25.06,19.92,24
342,,,0.98,18.82,19.92,3
343,,,0.94,29.21,19.92,6
344,,,1.02,22.98,19.92,3
345,,,1.13,31.28,19.92,7
346,,,1.13,29.21,19.92,22
347,,,1.25,31.28,19.92,3
348,,,1.48,31.28,19.92,2
349,,,1.13,39.56,19.92,4
350,,,1.21,58.07,19.92,3
351,,,1.21,33.35,19.92,6
352,,,1.13,43.68,19.92,4
353,,,2.58,0.00,19.92,18
354,,,1.33,0.00,19.92,26
355,,,1.17,0.00,19.92,32
356,,,0.94,0.00,19.92,13
357,,,0.94,0.00,19.92,18
358,,,1.05,18.82,19.92,4
359,,,0.62,25.06,19.92,5
360,,,0.98,8.38,19.92,24
361,,,0.86,8.38,19.92,38
362,,,2.38,4.19,19.92,12
363,,,0.94,4.19,19.92,14
364,,,1.13,14.65,19.92,18
365,,,1.37,18.82,19.92,6
366,,,1.05,8.38,19.92,7
367,,,1.29,14.65,19.92,3
368,,,1.17,6.29,19.92,5
369,,,0.74,35.42,19.92,24
370,,,0.78,128.66,19.92,45
371,,,1.02,25.06,19.92,3
372,,,0.98,16.73,19.92,3
373,,,1.09,20.90,19.92,5
374,,,0.66,98.68,19.92,24
375,,,0.86,204.73,19.92,35
376,,,0.86,31.28,19.92,23
377,,,1.17,41.62,19.92,23
378,,,0.98,10.47,19.92,3
379,,,0.82,12.56,19.92,40
380,,,0.90,18.82,19.92,5
381,,,0.55,25.06,20.57,23
382,,,0.90,29.21,19.92,5
383,,,1.25,35.42,19.92,3
384,,,1.48,27.13,19.92,5
385,,,0.98,18.82,19.92,24
386,,,0.90,22.98,19.92,8
387,,,1.17,14.65,20.24,3
388,,,0.86,0.00,19.92,3
389,,,1.33,0.00,19.92,5
390,,,0.78,0.00,20.24,4
391,,,0.94,0.00,19.92,10
392,,,0.94,0.00,20.24,22
393,,,0.86,0.00,20.24,28
394,,,0.78,2.10,20.24,11
395,,,0.86,0.00,20.24,5
396,,,0.90,0.00,20.24,26
397,,,0.94,0.00,20.24,19
398,,,0.78,2.10,20.24,8
399,,,0.74,8.38,20.24,2
400,,,0.86,10.47,20.24,5
401,,,1.09,4.19,20.24,8
402,,,1.09,0.00,20.24,9
403,,,0.82,0.00,20.24,8
404,,,1.02,0.00,20.24,6
405,,,0.98,10.47,20.57,11
406,,,0.90,10.47,20.24,9
407,,,0.90,4.19,20.57,29
408,,,1.21,14.65,20.57,11
409,,,0.90,37.49,20.24,5
410,,,0.98,18.82,20.24,9
411,,,1.02,0.00,20.57,18
412,,,0.82,18.82,20.57,32
413,,,0.94,18.82,20.57,18
414,,,1.21,18.82,20.89,28
415,,,0.94,18.82,20.89,13
416,,,0.94,12.56,21.21,12
417,,,0.94,16.73,21.21,15
418,,,0.94,0.00,21.53,15
419,,,0.94,0.00,21.53,10
420,,,0.94,0.00,21.53,11
421,,,0.66,0.00,21.53,28
422,,,0.78,0.00,21.86,24
423,,,0.82,0.00,21.86,40
424,,,0.82,0.00,22.18,27
425,,,0.82,0.00,22.50,46
426,,,0.82,0.00,22.50,38
427,,,0.78,0.00,22.82,25
