time,lat,long,accel,light,temp,sound
"Jul 22 2009 10:47:32",42.769466,-71.10274,5.95,74.00,24.44,0.00
"Jul 22 2009 10:47:33",42.76948,-71.10273,6.10,74.00,24.44,4.00
"Jul 22 2009 10:47:34",42.769497,-71.102715,6.10,74.00,24.44,0.00
"Jul 22 2009 10:47:35",42.769524,-71.10271,5.71,74.00,25.83,2.00
"Jul 22 2009 10:47:36",42.76953,-71.1027,5.95,75.00,24.44,5.00
"Jul 22 2009 10:47:37",42.76953,-71.1027,6.30,74.00,24.44,50.00
"Jul 22 2009 10:47:38",42.76954,-71.1027,5.87,75.00,24.44,0.00
"Jul 22 2009 10:47:39",42.76954,-71.1027,6.06,74.00,25.83,0.00
"Jul 22 2009 10:47:40",42.769554,-71.1027,6.10,75.00,24.44,0.00
"Jul 22 2009 10:47:41",42.769566,-71.1027,6.10,74.00,25.83,0.00
"Jul 22 2009 10:47:42",42.769573,-71.1027,5.63,74.00,24.44,0.00
"Jul 22 2009 10:47:43",42.76959,-71.10271,6.26,74.00,25.83,0.00
"Jul 22 2009 10:47:45",42.769604,-71.102715,5.71,74.00,24.44,0.00
"Jul 22 2009 10:47:46",42.769604,-71.102715,6.18,74.00,24.44,0.00
"Jul 22 2009 10:47:47",42.76962,-71.102715,5.98,74.00,24.44,0.00
"Jul 22 2009 10:47:48",42.76963,-71.102715,5.79,74.00,24.44,0.00
"Jul 22 2009 10:47:49",42.76963,-71.102715,6.30,74.00,24.44,0.00
"Jul 22 2009 10:47:50",42.769646,-71.102715,6.46,74.00,24.44,0.00
"Jul 22 2009 10:47:51",42.769653,-71.102715,6.10,72.00,24.44,0.00
"Jul 22 2009 10:47:52",42.76966,-71.102715,5.91,73.00,24.44,0.00
"Jul 22 2009 10:47:53",42.76967,-71.10273,6.10,74.00,24.44,6.00
"Jul 22 2009 10:47:54",42.76967,-71.10273,6.14,73.00,24.44,20.00
"Jul 22 2009 10:47:55",42.76966,-71.10274,6.06,73.00,24.44,0.00
"Jul 22 2009 10:47:56",42.769646,-71.10275,5.87,73.00,24.44,13.00
"Jul 22 2009 10:47:57",42.769638,-71.10276,6.30,73.00,24.44,0.00
"Jul 22 2009 10:47:58",42.76963,-71.102776,6.02,74.00,24.44,0.00
"Jul 22 2009 10:47:59",42.76962,-71.102776,5.83,74.00,24.44,0.00
"Jul 22 2009 10:48:00",42.76961,-71.1028,5.95,74.00,24.44,63.00
"Jul 22 2009 10:48:01",42.769604,-71.102806,6.22,72.00,24.44,0.00
"Jul 22 2009 10:48:02",42.769604,-71.10282,5.98,72.00,24.44,0.00
"Jul 22 2009 10:48:03",42.769604,-71.10284,6.06,72.00,24.44,0.00
"Jul 22 2009 10:48:04",42.769604,-71.10284,6.10,72.00,24.44,0.00
"Jul 22 2009 10:48:05",42.76961,-71.10285,6.26,74.00,24.44,0.00
"Jul 22 2009 10:48:07",42.769638,-71.10286,5.95,73.00,24.44,0.00
"Jul 22 2009 10:48:08",42.769638,-71.102875,5.98,70.00,24.44,50.00
"Jul 22 2009 10:48:09",42.769646,-71.10287,6.02,73.00,24.44,0.00
"Jul 22 2009 10:48:10",42.769638,-71.10285,5.95,73.00,24.44,0.00
"Jul 22 2009 10:48:11",42.76963,-71.10285,5.98,72.00,24.44,68.00
"Jul 22 2009 10:48:12",42.769638,-71.10287,5.98,74.00,24.44,0.00
"Jul 22 2009 10:48:13",42.769646,-71.10287,5.95,73.00,24.44,0.00
"Jul 22 2009 10:48:14",42.769653,-71.10287,5.79,73.00,24.44,0.00
"Jul 22 2009 10:48:15",42.769646,-71.102875,6.02,74.00,24.44,0.00
"Jul 22 2009 10:48:16",42.769638,-71.10289,5.98,74.00,24.44,0.00
"Jul 22 2009 10:48:17",42.76963,-71.10289,6.06,74.00,24.44,18.00
"Jul 22 2009 10:48:18",42.76962,-71.10289,5.83,74.00,24.44,0.00
"Jul 22 2009 10:48:19",42.76962,-71.1029,6.02,74.00,24.44,0.00
"Jul 22 2009 10:48:20",42.76961,-71.1029,5.98,74.00,24.44,0.00
"Jul 22 2009 10:48:21",42.769604,-71.1029,6.18,73.00,24.44,0.00
"Jul 22 2009 10:48:22",42.769596,-71.1029,6.22,72.00,24.44,0.00
"Jul 22 2009 10:48:23",42.76959,-71.1029,5.98,74.00,24.44,0.00
"Jul 22 2009 10:48:24",42.76959,-71.1029,6.06,74.00,24.44,0.00
"Jul 22 2009 10:48:25",42.76959,-71.1029,6.02,74.00,24.44,0.00
"Jul 22 2009 10:48:26",42.76959,-71.102905,5.83,75.00,24.44,17.00
"Jul 22 2009 10:48:27",42.76959,-71.102905,5.98,75.00,24.44,10.00
"Jul 22 2009 10:48:29",42.769596,-71.10291,6.14,75.00,24.44,0.00
"Jul 22 2009 10:48:30",42.769596,-71.10291,6.34,75.00,24.44,0.00
"Jul 22 2009 10:48:31",42.769596,-71.10291,6.30,75.00,24.44,0.00
"Jul 22 2009 10:48:32",42.76959,-71.102905,6.14,74.00,24.44,0.00
"Jul 22 2009 10:48:33",42.76959,-71.10291,6.06,75.00,24.44,4.00
"Jul 22 2009 10:48:34",42.769573,-71.10292,6.10,74.00,24.44,0.00
"Jul 22 2009 10:48:35",42.76958,-71.102936,5.47,75.00,24.44,100.00
"Jul 22 2009 10:48:36",42.76958,-71.10293,5.95,75.00,24.44,0.00
"Jul 22 2009 10:48:37",42.769573,-71.102905,5.98,75.00,24.44,10.00
"Jul 22 2009 10:48:38",42.769573,-71.1029,6.02,75.00,24.44,0.00
"Jul 22 2009 10:48:39",42.769596,-71.1029,5.87,75.00,24.44,0.00
"Jul 22 2009 10:48:40",42.76961,-71.1029,6.14,74.00,24.44,0.00
"Jul 22 2009 10:48:41",42.76963,-71.10289,6.10,74.00,24.44,0.00
"Jul 22 2009 10:48:42",42.76963,-71.10289,5.98,74.00,24.44,0.00
"Jul 22 2009 10:48:43",42.769604,-71.1029,5.83,73.00,24.44,27.00
"Jul 22 2009 10:48:44",42.769596,-71.102905,6.06,74.00,24.44,20.00
"Jul 22 2009 10:48:45",42.76959,-71.102905,6.66,75.00,24.44,0.00
"Jul 22 2009 10:48:46",42.76959,-71.1029,6.18,75.00,24.44,0.00
"Jul 22 2009 10:48:47",42.76959,-71.10289,5.91,75.00,24.44,0.00
"Jul 22 2009 10:48:48",42.76959,-71.102875,5.98,74.00,25.83,0.00
"Jul 22 2009 10:48:50",42.76959,-71.10285,6.14,74.00,24.44,0.00
"Jul 22 2009 10:48:51",42.76959,-71.10283,5.79,74.00,24.44,0.00
"Jul 22 2009 10:48:52",42.769596,-71.10283,6.26,74.00,24.44,0.00
"Jul 22 2009 10:48:53",42.769596,-71.10282,6.02,74.00,24.44,0.00
"Jul 22 2009 10:48:54",42.769596,-71.102806,5.71,74.00,24.44,0.00
"Jul 22 2009 10:48:55",42.76959,-71.10279,6.02,74.00,24.44,0.00
"Jul 22 2009 10:48:56",42.769596,-71.10278,6.14,74.00,24.44,0.00
"Jul 22 2009 10:48:57",42.769604,-71.10276,6.06,74.00,24.44,0.00
"Jul 22 2009 10:48:58",42.76961,-71.102745,6.18,74.00,24.44,0.00
"Jul 22 2009 10:48:59",42.76963,-71.102745,6.10,75.00,24.44,0.00
"Jul 22 2009 10:49:00",42.769638,-71.102745,5.98,74.00,24.44,0.00
"Jul 22 2009 10:49:01",42.769646,-71.10274,6.06,73.00,24.44,32.00
"Jul 22 2009 10:49:02",42.769653,-71.10275,6.10,71.00,24.44,0.00
"Jul 22 2009 10:49:03",42.76966,-71.10275,6.06,73.00,24.44,0.00
"Jul 22 2009 10:49:04",42.769653,-71.10277,6.02,72.00,24.44,0.00
"Jul 22 2009 10:49:05",42.769646,-71.10278,5.87,73.00,24.44,0.00
"Jul 22 2009 10:49:06",42.769653,-71.10278,5.95,73.00,24.44,26.00
"Jul 22 2009 10:49:07",42.769653,-71.1028,6.26,73.00,24.44,0.00
"Jul 22 2009 10:49:08",42.76966,-71.102806,5.98,73.00,24.44,0.00
"Jul 22 2009 10:49:08",42.76966,-71.102806,6.10,73.00,24.44,0.00
"Jul 22 2009 10:49:10",42.769676,-71.10282,6.26,72.00,24.44,0.00
"Jul 22 2009 10:49:12",42.769688,-71.10283,5.95,72.00,24.44,0.00
"Jul 22 2009 10:49:13",42.769676,-71.10284,5.91,73.00,24.44,0.00
"Jul 22 2009 10:49:14",42.76967,-71.10284,6.10,72.00,24.44,0.00
"Jul 22 2009 10:49:15",42.769676,-71.10284,6.18,72.00,24.44,0.00
"Jul 22 2009 10:49:16",42.76967,-71.10284,5.91,72.00,24.44,0.00
"Jul 22 2009 10:49:17",42.76967,-71.10282,5.95,73.00,24.44,0.00
"Jul 22 2009 10:49:18",42.769646,-71.102806,6.22,73.00,24.44,0.00
"Jul 22 2009 10:49:19",42.769646,-71.1028,5.95,73.00,24.44,0.00
"Jul 22 2009 10:49:20",42.769653,-71.1028,5.83,74.00,24.44,0.00
"Jul 22 2009 10:49:21",42.769653,-71.1028,6.14,74.00,24.44,0.00
"Jul 22 2009 10:49:22",42.769646,-71.10279,6.14,73.00,24.44,100.00
"Jul 22 2009 10:49:23",42.76963,-71.102776,6.02,74.00,24.44,100.00
"Jul 22 2009 10:49:24",42.76963,-71.10277,6.30,75.00,24.44,0.00
"Jul 22 2009 10:49:25",42.76962,-71.10275,5.98,74.00,24.44,45.00
"Jul 22 2009 10:49:26",42.76962,-71.10275,5.95,74.00,24.44,0.00
"Jul 22 2009 10:49:27",42.76963,-71.10273,5.98,74.00,24.44,0.00
"Jul 22 2009 10:49:28",42.76963,-71.102715,6.02,73.00,24.44,0.00
"Jul 22 2009 10:49:29",42.769638,-71.1027,5.98,73.00,24.44,0.00
"Jul 22 2009 10:49:30",42.769638,-71.10268,6.02,73.00,24.44,0.00
"Jul 22 2009 10:49:31",42.769653,-71.102684,6.22,74.00,24.44,0.00
"Jul 22 2009 10:49:32",42.76967,-71.102684,5.98,74.00,24.44,0.00
"Jul 22 2009 10:49:34",42.76967,-71.10268,5.91,74.00,24.44,0.00
"Jul 22 2009 10:49:35",42.76967,-71.10269,6.02,73.00,24.44,0.00
"Jul 22 2009 10:49:36",42.769688,-71.102715,6.30,72.00,24.44,15.00
"Jul 22 2009 10:49:37",42.769703,-71.10275,6.14,73.00,24.44,0.00
"Jul 22 2009 10:49:38",42.769695,-71.102776,5.91,73.00,24.44,0.00
"Jul 22 2009 10:49:39",42.769688,-71.10278,6.26,74.00,24.44,34.00
"Jul 22 2009 10:49:40",42.769688,-71.1028,6.10,72.00,24.44,0.00
"Jul 22 2009 10:49:41",42.769676,-71.102806,7.18,72.00,24.44,0.00
"Jul 22 2009 10:49:42",42.76967,-71.102806,6.58,72.00,24.44,0.00
"Jul 22 2009 10:49:43",42.769676,-71.10281,6.42,72.00,24.44,0.00
"Jul 22 2009 10:49:44",42.769676,-71.10281,6.26,71.00,24.44,71.00
"Jul 22 2009 10:49:45",42.769676,-71.10281,7.10,71.00,24.44,0.00
"Jul 22 2009 10:49:46",42.76967,-71.10286,6.50,69.00,24.44,0.00
"Jul 22 2009 10:49:47",42.76967,-71.1029,6.66,67.00,24.44,0.00
"Jul 22 2009 10:49:48",42.76967,-71.10289,6.90,57.00,24.44,0.00
"Jul 22 2009 10:49:49",42.76967,-71.1029,6.02,66.00,24.44,38.00
"Jul 22 2009 10:49:50",42.76966,-71.1029,6.86,71.00,24.44,5.00
"Jul 22 2009 10:49:51",42.769646,-71.102905,6.42,70.00,24.44,0.00
"Jul 22 2009 10:49:52",42.76966,-71.10289,6.66,62.00,24.44,0.00
"Jul 22 2009 10:49:52",42.76966,-71.10289,6.34,67.00,24.44,0.00
"Jul 22 2009 10:49:54",42.76967,-71.102875,6.94,48.00,24.44,0.00
"Jul 22 2009 10:49:56",42.769653,-71.10285,6.82,49.00,24.44,0.00
"Jul 22 2009 10:49:57",42.769638,-71.10284,6.62,58.00,24.44,0.00
"Jul 22 2009 10:49:58",42.76963,-71.10284,6.54,71.00,24.44,0.00
"Jul 22 2009 10:49:59",42.769604,-71.10284,6.38,67.00,24.44,0.00
"Jul 22 2009 10:50:00",42.76961,-71.10282,9.54,73.00,24.44,0.00
"Jul 22 2009 10:50:01",42.76961,-71.1028,9.58,73.00,24.44,0.00
"Jul 22 2009 10:50:02",42.769604,-71.10279,7.30,74.00,24.44,0.00
"Jul 22 2009 10:50:03",42.76961,-71.10279,7.98,72.00,24.44,0.00
"Jul 22 2009 10:50:04",42.76961,-71.10278,8.78,73.00,24.44,0.00
"Jul 22 2009 10:50:05",42.76961,-71.10278,7.98,73.00,24.44,0.00
"Jul 22 2009 10:50:06",42.76963,-71.102776,8.74,72.00,24.44,0.00
"Jul 22 2009 10:50:07",42.76963,-71.102776,8.18,73.00,24.44,0.00
"Jul 22 2009 10:50:08",42.769638,-71.102776,8.46,73.00,24.44,0.00
"Jul 22 2009 10:50:09",42.769653,-71.10277,7.10,73.00,24.44,0.00
"Jul 22 2009 10:50:10",42.769653,-71.10276,7.22,74.00,24.44,0.00
"Jul 22 2009 10:50:11",42.76966,-71.102745,6.98,73.00,24.44,0.00
"Jul 22 2009 10:50:12",42.76966,-71.10274,6.58,74.00,24.44,0.00
"Jul 22 2009 10:50:13",42.76966,-71.10273,6.70,74.00,24.44,0.00
