time,latitude,longitude,accel,light,sound,external
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,307.36,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,128.66,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,204.73,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,183.56,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,529.86,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,491.41,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.25,475.08,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,564.20,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,339.76,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,578.00,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,411.39,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,253.93,0,28.8944
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,162.16,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,402.82,0,28.8944
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,285.43,0,28.8944
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,666.24,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,621.46,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,348.66,0,28.8944
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,345.11,0,28.8944
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,212.38,0,29.00685
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,465.20,0,29.1193
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,345.11,0,29.23175
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,327.23,0,29.23175
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.29,394.20,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,456.91,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,407.97,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,493.03,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,520.35,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,512.37,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,544.01,0,29.68155
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,416.52,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,458.57,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,456.91,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,471.79,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,433.47,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,416.52,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,332.61,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,210.47,0,29.68155
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,387.27,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,609.62,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,12.56,0,30.13135
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,8.38,0,30.2438
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,10.47,0,30.13135
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,18.82,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,0.98,56.02,1,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,94.65,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,84.55,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,198.98,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,183.56,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,185.49,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,0.98,212.38,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,221.90,0,30.0189
"Dec 26 2009 20:28:27",35.205677,-111.6442,0.94,214.29,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,225.69,1,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,301.90,0,29.90645
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,278.07,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,175.80,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,218.10,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,202.82,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,227.59,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,214.29,0,29.7940
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,238.92,0,29.68155
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,242.68,0,29.68155
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,237.04,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,231.37,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,265.11,0,29.5691
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,227.59,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,235.15,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,265.11,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,221.90,0,29.45665
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,223.80,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.17,216.19,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.09,348.66,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.13,406.25,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,193.21,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,60.11,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,94.65,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,120.71,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.02,368.08,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.05,352.21,0,29.3442
"Dec 26 2009 20:28:27",35.205677,-111.6442,1.21,402.82,0,29.3442
