time,latitude,longitude,acel,light,temperature,sound
"Sep 26 2009 17:45:32",42.3217333333,-71.6235333333,0.9375,478.3616,-16.81640625,0
"Sep 26 2009 17:45:33",42.3218166667,-71.6234,0.9765625,505.9509,-16.81640625,0
"Sep 26 2009 17:45:34",42.3219166667,-71.6232666667,1.0546875,539.3136,-16.81640625,0
"Sep 26 2009 17:45:35",42.3220166667,-71.62315,0.9765625,510.7656,-16.494140625,1
"Sep 26 2009 17:45:36",42.3222166667,-71.6228833333,0.9765625,518.7541,-16.494140625,0
"Sep 26 2009 17:45:37",42.3223166667,-71.62275,0.9765625,660.5625,-16.81640625,0
"Sep 26 2009 17:45:38",42.3224,-71.6226166667,1.0546875,664.8264,-16.81640625,0
"Sep 26 2009 17:45:39",42.3225,-71.6224833333,1.09375,567.2784,-16.81640625,0
"Sep 26 2009 17:45:41",42.3226,-71.62235,0.9375,380.3184,-16.494140625,0
"Sep 26 2009 17:45:42",42.3227,-71.6222166667,0.9765625,318.2249,-16.81640625,0
"Sep 26 2009 17:45:43",42.3227833333,-71.6220666667,1.015625,505.9509,-16.494140625,0
"Sep 26 2009 17:45:44",42.3228833333,-71.6219333333,0.9765625,272.5224,-16.494140625,0
"Sep 26 2009 17:45:45",42.3229666667,-71.6218,1.015625,536.1704,-16.494140625,0
"Sep 26 2009 17:45:46",42.3230666667,-71.62165,1.015625,567.2784,-16.494140625,0
"Sep 26 2009 17:45:47",42.32315,-71.6215,0.9375,567.2784,-16.494140625,0
"Sep 26 2009 17:45:48",42.3232333333,-71.6213666667,1.015625,587.1125,-16.494140625,0
"Sep 26 2009 17:45:49",42.3233,-71.6212,1.0546875,181.62,-16.494140625,0
"Sep 26 2009 17:45:50",42.3233,-71.6212,1.09375,202.8181,-16.494140625,0
"Sep 26 2009 17:45:50",42.3234666667,-71.6206833333,1.0546875,380.3184,-16.494140625,0
"Sep 26 2009 17:45:52",42.3235166667,-71.6205166667,1.0546875,551.8144,-16.494140625,0
"Sep 26 2009 17:45:53",42.3235666667,-71.6203333333,1.0546875,615.5536,-16.494140625,0
"Sep 26 2009 17:45:55",42.3236166667,-71.62015,1.015625,653.42,-16.494140625,0
"Sep 26 2009 17:45:56",42.32365,-71.6199666667,1.2109375,252.0569,-16.494140625,1
"Sep 26 2009 17:45:57",42.3237,-71.6197833333,1.0546875,298.2544,-16.494140625,0
"Sep 26 2009 17:45:58",42.3237333333,-71.6196166667,1.09375,296.4281,-16.494140625,0
"Sep 26 2009 17:45:59",42.3237833333,-71.6194666667,1.0546875,418.22,-16.494140625,0
"Sep 26 2009 17:46:00",42.3238166667,-71.6193166667,0.9765625,435.16,-16.494140625,0
"Sep 26 2009 17:46:01",42.32385,-71.6191833333,1.015625,726.8409,-16.494140625,0
"Sep 26 2009 17:46:02",42.3238833333,-71.61905,1.015625,742.7625,-16.494140625,0
"Sep 26 2009 17:46:03",42.3238833333,-71.6189333333,1.0546875,746.7024,-16.494140625,0
"Sep 26 2009 17:46:04",42.3239,-71.61885,1.015625,746.7024,-16.494140625,0
"Sep 26 2009 17:46:05",42.3239333333,-71.6187666667,0.9765625,753.2329,-16.494140625,0
"Sep 26 2009 17:46:06",42.3239333333,-71.6187333333,0.9765625,740.1269,-16.494140625,0
"Sep 26 2009 17:46:07",42.3239333333,-71.6187166667,1.0546875,750.6261,-16.171875,0
"Sep 26 2009 17:46:09",42.3239333333,-71.6187166667,1.015625,746.7024,-16.494140625,0
"Sep 26 2009 17:46:10",42.3239333333,-71.6186833333,1.015625,755.8325,-16.494140625,0
"Sep 26 2009 17:46:11",42.3239333333,-71.6186833333,0.9375,764.8744,-16.494140625,0
"Sep 26 2009 17:46:12",42.3239333333,-71.6186666667,1.015625,780.1696,-16.494140625,0
"Sep 26 2009 17:46:13",42.3239166667,-71.6186333333,0.9375,791.4709,-16.494140625,0
"Sep 26 2009 17:46:14",42.3239,-71.6185833333,1.09375,758.4249,-16.494140625,2
"Sep 26 2009 17:46:15",42.3238666667,-71.61855,0.9375,793.9625,-16.171875,8
"Sep 26 2009 17:46:16",42.3238,-71.6184833333,1.015625,793.9625,-16.171875,1
"Sep 26 2009 17:46:17",42.3237,-71.6184166667,0.9765625,792.7176,-16.171875,0
"Sep 26 2009 17:46:18",42.3236,-71.6183,1.015625,690.0696,-16.171875,0
