time,latitude,longitude,light,temperature,sound,acceleration,altitude
06/03/2010 10:44:04,42.66975,-71.42678,1080.47,31.85,0,0.98,58
06/03/2010 10:44:05,42.66975,-71.42678,1081.91,31.85,0,0.90,58
06/03/2010 10:44:06,42.66975,-71.42678,1081.91,31.85,0,0.94,58
06/03/2010 10:44:07,42.66975,-71.42678,1080.47,31.85,0,0.94,58
06/03/2010 10:44:08,42.66975,-71.42678,1078.31,31.85,0,1.05,58
06/03/2010 10:44:09,42.669735,-71.42678,1076.86,31.85,0,0.90,58
06/03/2010 10:44:10,42.66972,-71.42678,1076.86,31.85,0,0.94,57
06/03/2010 10:44:12,42.66972,-71.42678,1079.03,31.85,0,0.82,57
06/03/2010 10:44:13,42.6697,-71.426765,1080.47,31.85,0,0.82,57
06/03/2010 10:44:14,42.669685,-71.426765,1079.03,31.85,0,0.94,56
06/03/2010 10:44:15,42.669685,-71.426765,1082.62,31.85,0,0.94,56
06/03/2010 10:44:16,42.66967,-71.426765,1081.91,31.85,0,0.98,56
06/03/2010 10:44:17,42.66967,-71.426765,1081.91,31.85,0,0.86,56
06/03/2010 10:44:18,42.669655,-71.42675,1081.91,31.85,0,0.94,56
06/03/2010 10:44:34,42.669655,-71.426765,1082.62,32.49,0,0.86,56
06/03/2010 10:44:35,42.669655,-71.426765,1084.75,32.49,0,0.90,56
06/03/2010 10:44:36,42.669655,-71.426765,1084.04,32.81,0,0.86,56
06/03/2010 10:44:38,42.669655,-71.426765,1084.04,32.81,0,0.98,56
06/03/2010 10:44:39,42.66967,-71.426765,1084.75,32.81,0,1.13,56
06/03/2010 10:44:40,42.669685,-71.426765,1084.04,32.81,0,0.98,56
06/03/2010 10:44:41,42.669685,-71.42678,1084.04,32.81,0,0.78,56
06/03/2010 10:44:42,42.6697,-71.42678,1084.75,32.81,0,0.90,56
06/03/2010 10:44:43,42.66972,-71.42678,1084.75,33.13,0,0.98,56
06/03/2010 10:44:44,42.66972,-71.42678,1079.75,33.13,0,0.90,56
06/03/2010 10:44:45,42.669735,-71.42678,1083.33,32.81,0,0.86,56
06/03/2010 10:44:46,42.66972,-71.42681,1082.62,32.81,0,1.02,56
06/03/2010 10:44:47,42.66972,-71.42681,1082.62,32.81,0,1.02,56
06/03/2010 10:44:49,42.66972,-71.42681,1083.33,32.49,1,0.98,56
06/03/2010 10:44:50,42.6697,-71.426834,1083.33,32.49,0,0.94,56
06/03/2010 10:44:51,42.6697,-71.426834,1083.33,32.49,0,0.86,56
06/03/2010 10:44:52,42.669685,-71.426834,1081.91,32.49,0,0.78,56
06/03/2010 10:44:53,42.669685,-71.426834,1081.91,32.49,0,0.82,56
06/03/2010 10:44:54,42.66967,-71.426834,1081.19,32.49,0,0.82,56
06/03/2010 10:44:55,42.66967,-71.42681,1080.47,32.49,0,0.90,56
06/03/2010 10:44:56,42.669655,-71.42681,1081.19,32.49,0,1.09,56
06/03/2010 10:44:57,42.669655,-71.426796,1081.91,32.81,0,0.98,56
06/03/2010 10:44:58,42.669655,-71.42678,1084.04,32.81,0,1.02,56
06/03/2010 10:44:59,42.669655,-71.426765,1084.75,32.81,0,1.05,56
06/03/2010 10:45:19,42.66972,-71.426865,1081.19,33.13,0,0.78,55
06/03/2010 10:45:20,42.66972,-71.426865,1082.62,33.13,0,0.94,55
06/03/2010 10:45:21,42.66972,-71.426865,1081.19,33.13,0,0.94,55
06/03/2010 10:45:22,42.66972,-71.426865,1081.91,33.13,0,0.94,55
06/03/2010 10:45:23,42.6697,-71.42688,1080.47,32.81,0,1.13,55
06/03/2010 10:45:24,42.6697,-71.42688,1079.03,32.81,0,0.98,55
06/03/2010 10:45:25,42.669685,-71.42688,1081.91,32.81,0,0.74,54
06/03/2010 10:45:27,42.66967,-71.42688,1082.62,32.81,0,0.78,54
06/03/2010 10:45:28,42.66967,-71.42688,1079.03,32.81,0,1.02,54
06/03/2010 10:45:29,42.669655,-71.426895,1076.86,32.81,0,0.94,54
06/03/2010 10:45:30,42.669636,-71.426895,1077.58,32.81,0,0.90,54
06/03/2010 10:45:31,42.669636,-71.426895,1079.75,32.81,0,0.94,54
06/03/2010 10:45:32,42.669613,-71.426895,1083.33,32.81,0,0.98,54
06/03/2010 10:45:33,42.669613,-71.426895,1084.04,33.13,0,1.02,54
06/03/2010 10:45:34,42.669613,-71.426895,1084.04,33.13,0,1.02,54
06/03/2010 10:45:35,42.669636,-71.42692,1084.04,33.13,0,0.98,54
06/03/2010 10:45:36,42.669636,-71.42693,1084.04,33.13,0,0.70,54
06/03/2010 10:45:37,42.669655,-71.42693,1085.46,33.46,0,0.82,54
06/03/2010 10:45:38,42.669655,-71.426956,1084.75,33.46,0,0.86,54
06/03/2010 10:45:40,42.66967,-71.426956,1084.75,33.46,0,1.05,54
06/03/2010 10:45:41,42.669685,-71.42697,1084.04,33.46,0,1.05,54
06/03/2010 10:45:42,42.669685,-71.42697,1084.04,33.78,0,1.05,54
06/03/2010 10:45:43,42.6697,-71.42699,1084.04,33.78,0,0.98,54
06/03/2010 10:45:55,42.66967,-71.426956,1084.75,33.78,0,0.98,55
06/03/2010 10:45:56,42.66967,-71.426956,1083.33,33.78,0,0.78,55
06/03/2010 10:45:57,42.66967,-71.426956,1083.33,33.78,0,0.78,55
06/03/2010 10:45:58,42.66967,-71.426956,1082.62,33.78,0,0.82,55
06/03/2010 10:45:59,42.669685,-71.42692,1083.33,33.78,0,0.94,55
06/03/2010 10:46:00,42.669685,-71.426895,1084.04,34.10,0,1.02,55
06/03/2010 10:46:45,42.669785,-71.42697,1079.75,33.13,0,0.86,53
06/03/2010 10:46:46,42.669785,-71.42697,1077.58,33.13,0,1.05,53
06/03/2010 10:46:47,42.669785,-71.42697,1076.86,32.81,0,1.17,53
06/03/2010 10:46:48,42.6698,-71.42699,1078.31,32.81,0,0.98,53
06/03/2010 10:46:49,42.6698,-71.42699,1078.31,32.81,0,0.90,53
06/03/2010 10:46:50,42.669815,-71.427,1078.31,32.81,0,1.05,53
06/03/2010 10:46:52,42.669815,-71.427,1078.31,32.81,0,0.86,53
06/03/2010 10:46:53,42.669834,-71.42702,1077.58,32.81,0,0.82,53
06/03/2010 10:46:54,42.669834,-71.42702,1078.31,32.81,0,0.90,53
06/03/2010 10:46:55,42.66985,-71.42703,1078.31,32.81,0,0.86,54
06/03/2010 10:46:56,42.66985,-71.42703,1078.31,32.81,0,0.94,54
06/03/2010 10:46:57,42.669865,-71.42705,1078.31,32.81,0,0.94,54
06/03/2010 10:46:58,42.669865,-71.42707,1077.58,32.49,0,1.02,54
06/03/2010 10:46:59,42.66988,-71.42707,1077.58,32.49,0,0.98,54
06/03/2010 10:47:00,42.66988,-71.427086,1076.13,32.49,0,0.90,54
06/03/2010 10:47:01,42.6699,-71.427086,1075.40,32.49,0,1.21,54
06/03/2010 10:47:02,42.669914,-71.42712,1076.13,32.49,0,1.05,54
06/03/2010 10:47:03,42.669914,-71.42712,1074.67,32.49,0,1.02,54
06/03/2010 10:47:05,42.669914,-71.42713,1074.67,32.49,0,0.86,54
06/03/2010 10:47:06,42.669914,-71.42715,1073.93,32.49,0,0.78,54
