time,latitude,longitude,light,temperature,sound,temperature probe,altitude
06/03/2010 10:41:19,42.6701,-71.4263,1081.91,29.27,6,29.181675565550505050505050505050505,51
06/03/2010 10:41:20,42.6701,-71.4263,1081.91,29.27,5,29.181675565550505050505050505050505,51
06/03/2010 10:41:21,42.6701,-71.426315,1081.91,29.27,2,29.267994515816356275303643724696356,52
06/03/2010 10:41:22,42.6701,-71.42634,1082.62,29.59,19,29.267994515816356275303643724696356,52
06/03/2010 10:41:23,42.6701,-71.42634,1081.91,29.59,3,29.354178380584056795131845841784990,52
06/03/2010 10:41:25,42.6701,-71.42635,1081.91,29.59,5,29.354178380584056795131845841784990,52
06/03/2010 10:41:26,42.6701,-71.42637,1081.91,29.59,0,29.354178380584056795131845841784990,52
06/03/2010 10:41:27,42.670086,-71.42637,1081.91,29.59,0,29.354178380584056795131845841784990,52
06/03/2010 10:41:28,42.670086,-71.426384,1082.62,29.59,0,29.354178380584056795131845841784990,52
06/03/2010 10:41:29,42.670086,-71.4264,1082.62,29.59,3,29.440227320473495934959349593495935,52
06/03/2010 10:41:30,42.670086,-71.4264,1082.62,29.91,7,29.526141497413075356415478615071283,52
06/03/2010 10:41:31,42.670086,-71.426414,1082.62,29.91,8,29.611921074653061224489795918367347,52
06/03/2010 10:41:32,42.670086,-71.42643,1082.62,29.91,0,29.611921074653061224489795918367347,52
06/03/2010 10:41:33,42.670067,-71.426445,1082.62,29.91,6,29.697566216779100204498977505112474,53
06/03/2010 10:41:34,42.670067,-71.42647,1081.91,29.91,2,29.611921074653061224489795918367347,53
06/03/2010 10:41:35,42.670067,-71.42647,1081.91,29.91,35,29.611921074653061224489795918367347,53
06/03/2010 10:41:37,42.670067,-71.42648,1081.91,29.91,18,29.526141497413075356415478615071283,53
06/03/2010 10:41:38,42.670067,-71.4265,1081.91,29.91,15,29.526141497413075356415478615071283,53
06/03/2010 10:41:39,42.67005,-71.4265,1081.91,29.91,40,29.440227320473495934959349593495935,53
06/03/2010 10:41:40,42.67005,-71.42651,1081.91,29.91,25,29.440227320473495934959349593495935,53
06/03/2010 10:41:41,42.67005,-71.42653,1082.62,29.91,5,29.440227320473495934959349593495935,53
06/03/2010 10:41:42,42.67005,-71.426544,1076.86,29.91,9,29.440227320473495934959349593495935,53
06/03/2010 10:41:43,42.67005,-71.426544,1081.91,29.91,28,29.440227320473495934959349593495935,53
06/03/2010 10:41:44,42.670067,-71.42657,1082.62,29.91,2,29.440227320473495934959349593495935,53
06/03/2010 10:41:45,42.670067,-71.42659,1082.62,29.91,12,29.440227320473495934959349593495935,53
06/03/2010 10:41:46,42.670067,-71.42659,1081.91,29.91,2,29.526141497413075356415478615071283,54
06/03/2010 10:41:47,42.670067,-71.426605,1081.91,29.91,0,29.526141497413075356415478615071283,54
06/03/2010 10:41:48,42.670067,-71.426605,1081.91,29.91,6,29.526141497413075356415478615071283,55
06/03/2010 10:41:50,42.67005,-71.426605,1082.62,29.59,13,29.526141497413075356415478615071283,55
06/03/2010 10:41:51,42.67005,-71.426605,1081.91,29.91,6,29.526141497413075356415478615071283,56
06/03/2010 10:41:52,42.67005,-71.426605,1081.91,29.91,35,29.611921074653061224489795918367347,57
06/03/2010 10:41:53,42.67005,-71.426605,1081.91,29.91,26,29.611921074653061224489795918367347,58
06/03/2010 10:41:54,42.670036,-71.426605,1081.91,29.91,4,29.611921074653061224489795918367347,59
06/03/2010 10:41:55,42.670036,-71.426605,1081.19,29.91,37,29.697566216779100204498977505112474,60
06/03/2010 10:41:56,42.670036,-71.42662,1081.19,30.23,40,29.697566216779100204498977505112474,61
06/03/2010 10:41:57,42.670036,-71.42662,1080.47,30.23,20,29.697566216779100204498977505112474,61
06/03/2010 10:41:58,42.670036,-71.42662,1081.19,29.91,44,29.783077089725901639344262295081967,62
06/03/2010 10:41:59,42.67002,-71.42662,1080.47,30.23,10,29.868453860791088295687885010266940,62
06/03/2010 10:42:00,42.67002,-71.42662,1081.91,30.23,23,29.953696698649218106995884773662551,62
06/03/2010 10:42:02,42.67002,-71.426636,1081.91,30.23,0,29.868453860791088295687885010266940,62
