time,latitude,longitude,light,temperature,sound,"cricket temperature probe"
"3/30/2128 20:00:00",,,1057.34,23.47,0,14.5008
"3/30/2128 20:00:00",,,1058.11,23.47,0,14.5008
"3/30/2128 20:00:00",,,1058.88,23.47,0,14.5008
"3/30/2128 20:00:00",,,1058.88,23.47,0,14.5008
"3/30/2128 20:00:00",,,1058.88,23.47,0,14.5008
"3/30/2128 20:00:00",,,1058.88,23.79,0,14.61325
"3/30/2128 20:00:00",,,1058.11,23.79,0,14.61325
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.61325
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.7257
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.7257
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.83815
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.7257
"3/30/2128 20:00:00",,,1056.56,23.47,0,14.61325
"3/30/2128 20:00:00",,,1055.79,23.47,0,14.61325
"3/30/2128 20:00:00",,,1055.01,23.47,0,14.61325
"3/30/2128 20:00:00",,,1054.23,23.47,0,14.5008
"3/30/2128 20:00:00",,,1053.44,23.47,0,14.61325
"3/30/2128 20:00:00",,,1052.66,23.47,0,14.5008
"3/30/2128 20:00:00",,,1052.66,23.14,0,14.5008
"3/30/2128 20:00:00",,,1052.66,23.14,0,14.5008
"3/30/2128 20:00:00",,,1052.66,23.14,0,14.5008
"3/30/2128 20:00:00",,,1053.44,23.14,0,14.5008
"3/30/2128 20:00:00",,,1053.44,23.14,0,14.38835
"3/30/2128 20:00:00",,,1053.44,23.14,0,14.38835
"3/30/2128 20:00:00",,,1052.66,23.14,0,14.2759
"3/30/2128 20:00:00",,,1052.66,22.82,0,14.38835
"3/30/2128 20:00:00",,,1052.66,23.14,0,14.5008
"3/30/2128 20:00:00",,,1053.44,22.82,0,14.38835
"3/30/2128 20:00:00",,,1052.66,22.82,0,14.2759
"3/30/2128 20:00:00",,,1052.66,22.82,0,14.16345
"3/30/2128 20:00:00",,,1052.66,22.82,0,14.16345
"3/30/2128 20:00:00",,,1051.87,22.82,0,14.16345
"3/30/2128 20:00:00",,,1051.87,22.82,0,14.16345
"3/30/2128 20:00:00",,,1051.87,22.82,0,14.0510
"3/30/2128 20:00:00",,,1052.66,22.82,0,14.0510
"3/30/2128 20:00:00",,,1053.44,22.82,0,13.93855
"3/30/2128 20:00:00",,,1053.44,22.82,0,13.93855
"3/30/2128 20:00:00",,,1053.44,22.50,0,13.93855
"3/30/2128 20:00:00",,,1053.44,22.50,0,13.93855
"3/30/2128 20:00:00",,,1051.87,22.50,0,13.93855
"3/30/2128 20:00:00",,,1050.30,22.50,0,13.8261
"3/30/2128 20:00:00",,,1050.30,22.50,0,13.93855
