time,latitude,longitude,light,temperature,sound,"temperature probe"
"10/15/2009 17:24:35",42.862297,-71.17021,0.00,-18.75,0,6.06705
"10/15/2009 17:24:37",42.862183,-71.1704,0.00,-18.75,0,6.06705
"10/15/2009 17:24:38",42.862083,-71.17056,0.00,-18.75,0,6.06705
"10/15/2009 17:24:39",42.861988,-71.17075,0.00,-18.75,0,6.06705
"10/15/2009 17:24:40",42.86188,-71.17093,0.00,-18.75,0,6.06705
"10/15/2009 17:24:41",42.8618,-71.17112,0.00,-18.75,0,6.06705
"10/15/2009 17:24:42",42.861717,-71.17128,0.00,-18.75,0,6.06705
"10/15/2009 17:24:43",42.861637,-71.17143,0.00,-18.75,0,6.06705
"10/15/2009 17:24:44",42.86153,-71.1716,0.00,-18.75,0,6.06705
"10/15/2009 17:24:45",,,0.00,-18.75,0,6.06705
"10/15/2009 17:24:45",42.861305,-71.172104,0.00,-18.75,0,6.06705
"10/15/2009 17:24:47",42.86123,-71.172264,0.00,-18.75,0,6.06705
"10/15/2009 17:24:48",42.86115,-71.17242,0.00,-18.75,0,6.06705
"10/15/2009 17:24:50",42.861084,-71.172585,0.00,-18.75,0,6.1795
"10/15/2009 17:24:51",42.861034,-71.172714,0.00,-18.75,0,6.1795
"10/15/2009 17:24:52",42.861004,-71.17282,0.00,-18.75,0,6.1795
"10/15/2009 17:24:53",42.86097,-71.17292,0.00,-18.75,0,6.1795
"10/15/2009 17:24:54",42.860928,-71.17298,0.00,-18.75,0,6.29195
"10/15/2009 17:24:55",42.860912,-71.17305,0.00,-18.75,0,6.29195
"10/15/2009 17:24:56",42.860897,-71.17308,0.00,22.18,0,6.29195
"10/15/2009 17:24:57",42.86088,-71.17317,0.00,22.18,0,6.29195
"10/15/2009 17:24:58",42.860863,-71.17326,0.00,-18.75,0,6.29195
"10/15/2009 17:24:59",42.860832,-71.17338,0.00,-18.75,0,6.1795
"10/15/2009 17:25:00",42.860752,-71.1737,0.00,-18.75,0,6.1795
"10/15/2009 17:25:01",42.860718,-71.17385,0.00,-18.75,0,6.1795
"10/15/2009 17:25:02",42.86067,-71.174034,0.00,22.18,0,6.1795
"10/15/2009 17:25:04",42.86062,-71.17422,0.00,-18.75,0,6.1795
"10/15/2009 17:25:05",42.860546,-71.17443,0.00,-18.75,0,6.06705
"10/15/2009 17:25:06",42.86048,-71.17465,0.00,-19.07,0,6.06705
"10/15/2009 17:25:07",42.86045,-71.174835,2.10,-18.75,0,6.06705
"10/15/2009 17:25:08",42.8604,-71.17505,0.00,-18.75,0,6.06705
"10/15/2009 17:25:09",42.860336,-71.17527,0.00,-19.07,0,6.06705
"10/15/2009 17:25:10",42.86027,-71.1755,0.00,-18.75,0,6.06705
"10/15/2009 17:25:11",42.86018,-71.175735,0.00,-18.75,0,6.06705
"10/15/2009 17:25:12",42.860115,-71.17597,0.00,-18.75,0,6.06705
"10/15/2009 17:25:13",42.86005,-71.17622,0.00,-18.75,0,6.06705
