time,latitude,longitude,temperature,volts
07/20/2010 11:23:13,42.649334,-71.296455,26.69,0.06451612903225806451612903225806452
07/20/2010 11:23:24,42.64917,-71.296455,26.37,0.06129032258064516129032258064516129
07/20/2010 11:23:35,42.648838,-71.29655,26.37,0.06451612903225806451612903225806452
07/20/2010 11:23:46,42.648666,-71.2965,26.04,0.06451612903225806451612903225806452
07/20/2010 11:23:56,42.648666,-71.29642,26.04,0.06129032258064516129032258064516129
07/20/2010 11:24:07,42.648838,-71.2964,26.04,0.06129032258064516129032258064516129
07/20/2010 11:24:18,42.648838,-71.29639,26.04,0.06451612903225806451612903225806452
07/20/2010 11:24:28,42.64833,-71.29639,26.04,0.06451612903225806451612903225806452
07/20/2010 11:24:39,42.648502,-71.29639,26.04,0.06451612903225806451612903225806452
07/20/2010 11:24:50,42.648838,-71.2964,26.04,0.06451612903225806451612903225806452
