time,light,sound
"00/17/2010 18:30:31",305.54,0
"00/17/2010 18:30:32",265.11,0
"00/17/2010 18:30:34",339.76,0
"00/17/2010 18:30:35",343.33,0
"00/17/2010 18:30:36",261.39,0
"00/17/2010 18:30:37",325.43,0
"00/17/2010 18:30:38",292.77,0
"00/17/2010 18:30:39",355.75,0
"00/17/2010 18:30:40",274.37,0
"00/17/2010 18:30:41",292.77,0
"00/17/2010 18:30:42",279.91,0
"00/17/2010 18:30:43",336.19,0
"00/17/2010 18:30:44",265.11,0
"00/17/2010 18:30:45",320.03,0
"00/17/2010 18:30:46",244.56,0
"00/17/2010 18:30:48",287.27,0
"00/17/2010 18:30:49",334.40,0
"00/17/2010 18:30:50",283.59,0
"00/17/2010 18:30:51",314.61,0
"00/17/2010 18:30:52",301.90,0
"00/17/2010 18:30:53",253.93,0
"00/17/2010 18:30:54",355.75,0
"00/17/2010 18:30:55",337.98,0
"00/17/2010 18:30:56",268.82,0
"00/17/2010 18:30:57",316.42,0
"00/17/2010 18:30:58",242.68,0
"00/17/2010 18:30:59",244.56,0
"00/17/2010 18:31:00",301.90,0
"00/17/2010 18:31:02",283.59,0
"00/17/2010 18:31:03",310.99,0
"00/17/2010 18:31:04",346.88,0
"00/17/2010 18:31:05",305.54,0
"00/17/2010 18:31:06",235.15,0
"00/17/2010 18:31:07",292.77,0
"00/17/2010 18:31:08",309.17,0
"00/17/2010 18:31:09",307.36,0
"00/17/2010 18:31:10",305.54,0
"00/17/2010 18:31:11",357.51,0
"00/17/2010 18:31:12",307.36,0
"00/17/2010 18:31:13",287.27,0
"00/17/2010 18:31:14",244.56,0
"00/17/2010 18:31:16",353.98,0
"00/17/2010 18:31:17",303.72,0
"00/17/2010 18:31:18",361.04,0
"00/17/2010 18:31:19",281.75,0
"00/17/2010 18:31:20",270.67,0
"00/17/2010 18:31:21",296.43,0
"00/17/2010 18:31:22",240.80,0
"00/17/2010 18:31:23",343.33,0
"00/17/2010 18:31:24",263.25,0
"00/17/2010 18:31:25",257.66,0
"00/17/2010 18:31:26",221.90,0
"00/17/2010 18:31:27",334.40,0
"00/17/2010 18:31:28",246.44,0
"00/17/2010 18:31:30",330.82,0
"00/17/2010 18:31:31",321.83,0
"00/17/2010 18:31:32",350.43,0
"00/17/2010 18:31:33",350.43,0
"00/17/2010 18:31:34",285.43,0
"00/17/2010 18:31:35",348.66,0
"00/17/2010 18:31:36",361.04,0
"00/17/2010 18:31:37",298.25,0
"00/17/2010 18:31:38",231.37,0
"00/17/2010 18:31:39",296.43,0
"00/17/2010 18:31:40",303.72,0
"00/17/2010 18:31:41",334.40,0
"00/17/2010 18:31:42",355.75,0
"00/17/2010 18:31:43",348.66,0
"00/17/2010 18:31:45",278.07,0
"00/17/2010 18:31:46",270.67,0
"00/17/2010 18:31:47",276.22,0
"00/17/2010 18:31:48",296.43,0
"00/17/2010 18:31:49",312.80,0
"00/17/2010 18:31:50",310.99,0
"00/17/2010 18:31:51",310.99,0
"00/17/2010 18:31:52",212.38,0
"00/17/2010 18:31:53",276.22,0
"00/17/2010 18:31:54",357.51,0
"00/17/2010 18:31:55",225.69,0
"00/17/2010 18:31:56",314.61,0
"00/17/2010 18:31:58",237.04,0
"00/17/2010 18:31:59",341.55,0
"00/17/2010 18:32:00",303.72,0
"00/17/2010 18:32:01",237.04,0
"00/17/2010 18:32:02",248.31,0
"00/17/2010 18:32:03",279.91,0
"00/17/2010 18:32:04",296.43,0
"00/17/2010 18:32:05",341.55,0
"00/17/2010 18:32:06",263.25,0
"00/17/2010 18:32:07",246.44,0
"00/17/2010 18:32:08",290.94,0
"00/17/2010 18:32:09",278.07,0
"00/17/2010 18:32:10",265.11,0
"00/17/2010 18:32:11",279.91,0
"00/17/2010 18:32:13",285.43,0
"00/17/2010 18:32:14",263.25,0
"00/17/2010 18:32:15",350.43,0
"00/17/2010 18:32:16",337.98,0
"00/17/2010 18:32:17",223.80,0
"00/17/2010 18:32:18",314.61,0
"00/17/2010 18:32:19",290.94,0
"00/17/2010 18:32:20",290.94,0
"00/17/2010 18:32:21",294.60,0
"00/17/2010 18:32:22",274.37,0
"00/17/2010 18:32:23",257.66,0
"00/17/2010 18:32:24",353.98,0
"00/17/2010 18:32:25",298.25,0
"00/17/2010 18:32:27",238.92,0
"00/17/2010 18:32:28",336.19,0
"00/17/2010 18:32:29",309.17,0
"00/17/2010 18:32:30",285.43,0
"00/17/2010 18:32:31",270.67,0
"00/17/2010 18:32:32",233.26,0
"00/17/2010 18:32:33",309.17,0
"00/17/2010 18:32:34",233.26,0
"00/17/2010 18:32:35",253.93,0
"00/17/2010 18:32:36",309.17,0
"00/17/2010 18:32:37",300.08,0
"00/17/2010 18:32:38",318.22,0
"00/17/2010 18:32:39",345.11,0
"00/17/2010 18:32:41",289.10,0
"00/17/2010 18:32:42",285.43,0
"00/17/2010 18:32:43",265.11,0
"00/17/2010 18:32:44",303.72,0
"00/17/2010 18:32:45",336.19,1
"00/17/2010 18:32:46",316.42,0
"00/17/2010 18:32:47",272.52,0
"00/17/2010 18:32:48",361.04,0
"00/17/2010 18:32:49",316.42,0
"00/17/2010 18:32:50",257.66,4
"00/17/2010 18:32:51",346.88,0
"00/17/2010 18:32:52",334.40,0
"00/17/2010 18:32:53",332.61,1
"00/17/2010 18:32:55",357.51,0
"00/17/2010 18:32:56",223.80,0
"00/17/2010 18:32:57",266.96,0
"00/17/2010 18:32:58",278.07,1
"00/17/2010 18:32:59",278.07,0
"00/17/2010 18:33:00",357.51,0
"00/17/2010 18:33:01",330.82,0
"00/17/2010 18:33:02",279.91,0
"00/17/2010 18:33:03",353.98,0
"00/17/2010 18:33:04",310.99,1
"00/17/2010 18:33:05",303.72,0
"00/17/2010 18:33:06",348.66,0
"00/17/2010 18:33:07",283.59,0
"00/17/2010 18:33:09",235.15,0
"00/17/2010 18:33:10",348.66,0
"00/17/2010 18:33:11",274.37,11
"00/17/2010 18:33:12",191.28,0
"00/17/2010 18:33:13",136.59,0
"00/17/2010 18:33:14",244.56,13
"00/17/2010 18:33:15",238.92,0
"00/17/2010 18:33:16",270.67,0
"00/17/2010 18:33:17",353.98,1
"00/17/2010 18:33:18",318.22,1
"00/17/2010 18:33:19",270.67,8
"00/17/2010 18:33:20",318.22,0
"00/17/2010 18:33:21",320.03,0
"00/17/2010 18:33:22",334.40,0
"00/17/2010 18:33:24",235.15,0
"00/17/2010 18:33:25",345.11,0
"00/17/2010 18:33:26",300.08,0
"00/17/2010 18:33:27",362.80,0
"00/17/2010 18:33:28",289.10,0
"00/17/2010 18:33:29",348.66,0
"00/17/2010 18:33:30",292.77,0
"00/17/2010 18:33:31",352.21,0
"00/17/2010 18:33:32",341.55,0
"00/17/2010 18:33:33",278.07,0
"00/17/2010 18:33:34",223.80,0
"00/17/2010 18:33:35",355.75,0
"00/17/2010 18:33:36",289.10,0
"00/17/2010 18:33:38",244.56,0
"00/17/2010 18:33:39",290.94,0
"00/17/2010 18:33:40",261.39,0
"00/17/2010 18:33:41",318.22,0
"00/17/2010 18:33:42",231.37,0
"00/17/2010 18:33:43",292.77,0
"00/17/2010 18:33:44",303.72,0
"00/17/2010 18:33:45",320.03,0
"00/17/2010 18:33:46",301.90,0
"00/17/2010 18:33:47",246.44,0
"00/17/2010 18:33:48",266.96,0
"00/17/2010 18:33:49",294.60,0
"00/17/2010 18:33:50",266.96,0
"00/17/2010 18:33:52",272.52,0
"00/17/2010 18:33:53",281.75,0
"00/17/2010 18:33:54",329.03,0
"00/17/2010 18:33:55",255.79,0
"00/17/2010 18:33:56",290.94,0
"00/17/2010 18:33:57",310.99,0
"00/17/2010 18:33:58",257.66,0
"00/17/2010 18:33:59",352.21,0
"00/17/2010 18:34:00",314.61,0
"00/17/2010 18:34:01",348.66,0
"00/17/2010 18:34:02",289.10,0
"00/17/2010 18:34:03",240.80,0
"00/17/2010 18:34:04",283.59,0
"00/17/2010 18:34:06",321.83,0
"00/17/2010 18:34:07",307.36,0
"00/17/2010 18:34:08",255.79,0
"00/17/2010 18:34:09",270.67,0
"00/17/2010 18:34:10",330.82,0
"00/17/2010 18:34:11",361.04,0
"00/17/2010 18:34:12",334.40,0
"00/17/2010 18:34:13",298.25,0
"00/17/2010 18:34:14",350.43,0
"00/17/2010 18:34:15",318.22,0
"00/17/2010 18:34:16",359.28,0
"00/17/2010 18:34:17",298.25,0
"00/17/2010 18:34:18",290.94,0
"00/17/2010 18:34:19",337.98,0
"00/17/2010 18:34:21",362.80,0
"00/17/2010 18:34:22",257.66,0
"00/17/2010 18:34:23",246.44,0
"00/17/2010 18:34:24",307.36,0
"00/17/2010 18:34:25",361.04,0
"00/17/2010 18:34:26",312.80,0
"00/17/2010 18:34:27",353.98,0
"00/17/2010 18:34:28",301.90,0
"00/17/2010 18:34:29",353.98,0
"00/17/2010 18:34:30",359.28,0
"00/17/2010 18:34:31",274.37,3
"00/17/2010 18:34:32",255.79,0
"00/17/2010 18:34:33",327.23,0
"00/17/2010 18:34:35",294.60,0
"00/17/2010 18:34:36",261.39,0
"00/17/2010 18:34:37",341.55,3
"00/17/2010 18:34:38",329.03,0
"00/17/2010 18:34:39",272.52,1
"00/17/2010 18:34:40",345.11,0
"00/17/2010 18:34:41",268.82,4
"00/17/2010 18:34:42",296.43,0
"00/17/2010 18:34:43",278.07,0
"00/17/2010 18:34:44",296.43,4
"00/17/2010 18:34:45",348.66,3
"00/17/2010 18:34:46",248.31,3
"00/17/2010 18:34:47",276.22,0
"00/17/2010 18:34:49",303.72,0
"00/17/2010 18:34:50",321.83,0
"00/17/2010 18:34:51",316.42,0
"00/17/2010 18:34:52",292.77,0
"00/17/2010 18:34:53",343.33,0
"00/17/2010 18:34:54",233.26,3
"00/17/2010 18:34:55",320.03,2
"00/17/2010 18:34:56",357.51,1
"00/17/2010 18:34:57",233.26,1
"00/17/2010 18:34:58",289.10,0
"00/17/2010 18:34:59",296.43,1
"00/17/2010 18:35:00",257.66,8
"00/17/2010 18:35:01",359.28,0
"00/17/2010 18:35:03",301.90,0
"00/17/2010 18:35:04",323.63,0
"00/17/2010 18:35:05",276.22,1
"00/17/2010 18:35:06",290.94,0
"00/17/2010 18:35:07",307.36,0
"00/17/2010 18:35:08",296.43,0
"00/17/2010 18:35:09",238.92,0
"00/17/2010 18:35:10",339.76,0
"00/17/2010 18:35:11",312.80,0
"00/17/2010 18:35:12",361.04,0
"00/17/2010 18:35:13",296.43,0
"00/17/2010 18:35:14",272.52,0
"00/17/2010 18:35:15",257.66,0
"00/17/2010 18:35:17",329.03,0
"00/17/2010 18:35:18",345.11,0
"00/17/2010 18:35:19",359.28,0
"00/17/2010 18:35:20",334.40,0
"00/17/2010 18:35:21",325.43,1
"00/17/2010 18:35:22",355.75,0
"00/17/2010 18:35:23",355.75,1
"00/17/2010 18:35:24",346.88,0
"00/17/2010 18:35:25",348.66,0
"00/17/2010 18:35:26",289.10,0
"00/17/2010 18:35:27",283.59,0
"00/17/2010 18:35:28",320.03,0
"00/17/2010 18:35:29",276.22,0
"00/17/2010 18:35:31",346.88,0
"00/17/2010 18:35:32",300.08,0
"00/17/2010 18:35:33",361.04,0
"00/17/2010 18:35:34",287.27,0
"00/17/2010 18:35:35",289.10,0
"00/17/2010 18:35:36",362.80,0
"00/17/2010 18:35:37",255.79,0
"00/17/2010 18:35:38",292.77,0
"00/17/2010 18:35:39",303.72,0
"00/17/2010 18:35:40",246.44,0
"00/17/2010 18:35:41",292.77,0
"00/17/2010 18:35:42",341.55,0
"00/17/2010 18:35:43",327.23,0
"00/17/2010 18:35:44",345.11,0
"00/17/2010 18:35:46",327.23,0
"00/17/2010 18:35:47",281.75,0
"00/17/2010 18:35:48",270.67,0
"00/17/2010 18:35:49",283.59,0
"00/17/2010 18:35:50",357.51,0
"00/17/2010 18:35:51",345.11,0
"00/17/2010 18:35:52",355.75,0
"00/17/2010 18:35:53",303.72,0
"00/17/2010 18:35:54",316.42,0
"00/17/2010 18:35:55",292.77,0
"00/17/2010 18:35:56",298.25,0
"00/17/2010 18:35:57",300.08,0
"00/17/2010 18:35:58",298.25,0
"00/17/2010 18:36:00",310.99,0
"00/17/2010 18:36:01",350.43,0
"00/17/2010 18:36:02",359.28,0
"00/17/2010 18:36:03",250.19,0
"00/17/2010 18:36:04",274.37,0
"00/17/2010 18:36:05",257.66,0
"00/17/2010 18:36:06",238.92,0
"00/17/2010 18:36:07",341.55,0
"00/17/2010 18:36:08",270.67,0
"00/17/2010 18:36:09",292.77,0
"00/17/2010 18:36:10",252.06,0
"00/17/2010 18:36:11",353.98,0
"00/17/2010 18:36:12",292.77,0
"00/17/2010 18:36:14",345.11,0
"00/17/2010 18:36:15",305.54,0
"00/17/2010 18:36:16",321.83,0
"00/17/2010 18:36:17",278.07,0
"00/17/2010 18:36:18",294.60,0
"00/17/2010 18:36:19",346.88,0
"00/17/2010 18:36:20",250.19,0
"00/17/2010 18:36:21",350.43,0
"00/17/2010 18:36:22",337.98,0
"00/17/2010 18:36:23",248.31,0
"00/17/2010 18:36:24",270.67,0
"00/17/2010 18:36:25",298.25,0
"00/17/2010 18:36:26",307.36,0
"00/17/2010 18:36:28",361.04,0
"00/17/2010 18:36:29",364.56,0
"00/17/2010 18:36:30",350.43,0
"00/17/2010 18:36:31",309.17,0
"00/17/2010 18:36:32",283.59,0
"00/17/2010 18:36:33",279.91,0
"00/17/2010 18:36:34",353.98,3
"00/17/2010 18:36:35",238.92,0
"00/17/2010 18:36:36",279.91,0
"00/17/2010 18:36:37",287.27,1
"00/17/2010 18:36:38",289.10,0
"00/17/2010 18:36:39",231.37,0
"00/17/2010 18:36:40",263.25,1
"00/17/2010 18:36:42",238.92,0
"00/17/2010 18:36:43",309.17,0
"00/17/2010 18:36:44",259.52,0
"00/17/2010 18:36:45",357.51,1
"00/17/2010 18:36:46",287.27,0
"00/17/2010 18:36:47",298.25,0
"00/17/2010 18:36:48",298.25,0
"00/17/2010 18:36:49",325.43,2
"00/17/2010 18:36:50",289.10,1
"00/17/2010 18:36:51",231.37,0
"00/17/2010 18:36:52",341.55,0
"00/17/2010 18:36:53",296.43,2
"00/17/2010 18:36:54",343.33,0
"00/17/2010 18:36:55",312.80,1
"00/17/2010 18:36:57",325.43,0
"00/17/2010 18:36:58",323.63,0
"00/17/2010 18:36:59",294.60,1
"00/17/2010 18:37:00",294.60,0
"00/17/2010 18:37:01",250.19,0
"00/17/2010 18:37:02",339.76,0
"00/17/2010 18:37:03",337.98,0
"00/17/2010 18:37:04",278.07,0
"00/17/2010 18:37:05",314.61,0
"00/17/2010 18:37:06",334.40,0
"00/17/2010 18:37:07",309.17,0
"00/17/2010 18:37:08",310.99,0
"00/17/2010 18:37:09",246.44,0
"00/17/2010 18:37:11",307.36,0
"00/17/2010 18:37:12",265.11,0
"00/17/2010 18:37:13",320.03,0
"00/17/2010 18:37:14",339.76,0
"00/17/2010 18:37:15",346.88,0
"00/17/2010 18:37:16",346.88,0
"00/17/2010 18:37:17",287.27,0
"00/17/2010 18:37:18",355.75,0
"00/17/2010 18:37:19",345.11,0
"00/17/2010 18:37:20",300.08,0
"00/17/2010 18:37:21",332.61,1
"00/17/2010 18:37:22",325.43,1
"00/17/2010 18:37:23",310.99,0
"00/17/2010 18:37:25",357.51,0
"00/17/2010 18:37:26",294.60,0
"00/17/2010 18:37:27",279.91,0
"00/17/2010 18:37:28",346.88,0
"00/17/2010 18:37:29",263.25,0
"00/17/2010 18:37:30",281.75,1
"00/17/2010 18:37:31",303.72,0
"00/17/2010 18:37:32",346.88,0
"00/17/2010 18:37:33",346.88,1
"00/17/2010 18:37:34",296.43,1
"00/17/2010 18:37:35",231.37,1
"00/17/2010 18:37:36",300.08,4
"00/17/2010 18:37:37",270.67,0
"00/17/2010 18:37:39",353.98,0
"00/17/2010 18:37:40",359.28,0
"00/17/2010 18:37:41",242.68,0
"00/17/2010 18:37:42",259.52,0
"00/17/2010 18:37:43",343.33,1
"00/17/2010 18:37:44",261.39,0
"00/17/2010 18:37:45",320.03,5
"00/17/2010 18:37:46",225.69,3
"00/17/2010 18:37:47",233.26,5
"00/17/2010 18:37:48",346.88,5
"00/17/2010 18:37:49",289.10,7
"00/17/2010 18:37:50",290.94,11
"00/17/2010 18:37:51",252.06,12
"00/17/2010 18:37:53",294.60,8
"00/17/2010 18:37:54",268.82,6
"00/17/2010 18:37:55",292.77,6
"00/17/2010 18:37:56",332.61,9
"00/17/2010 18:37:57",250.19,8
"00/17/2010 18:37:58",289.10,9
"00/17/2010 18:37:59",364.56,8
"00/17/2010 18:38:00",303.72,10
"00/17/2010 18:38:01",303.72,7
"00/17/2010 18:38:02",255.79,5
"00/17/2010 18:38:03",274.37,5
"00/17/2010 18:38:04",240.80,10
"00/17/2010 18:38:05",310.99,9
"00/17/2010 18:38:07",298.25,9
"00/17/2010 18:38:08",252.06,4
"00/17/2010 18:38:09",242.68,5
"00/17/2010 18:38:10",352.21,8
"00/17/2010 18:38:11",361.04,4
"00/17/2010 18:38:12",339.76,6
"00/17/2010 18:38:13",314.61,8
"00/17/2010 18:38:14",268.82,14
"00/17/2010 18:38:15",357.51,9
"00/17/2010 18:38:16",283.59,10
"00/17/2010 18:38:17",339.76,8
"00/17/2010 18:38:18",353.98,11
"00/17/2010 18:38:19",261.39,8
"00/17/2010 18:38:21",294.60,8
"00/17/2010 18:38:22",281.75,5
"00/17/2010 18:38:23",283.59,8
"00/17/2010 18:38:24",312.80,6
"00/17/2010 18:38:25",312.80,7
"00/17/2010 18:38:26",329.03,19
"00/17/2010 18:38:27",250.19,23
"00/17/2010 18:38:28",279.91,12
"00/17/2010 18:38:29",276.22,8
"00/17/2010 18:38:30",242.68,32
"00/17/2010 18:38:31",300.08,24
"00/17/2010 18:38:32",266.96,14
"00/17/2010 18:38:33",303.72,16
"00/17/2010 18:38:34",292.77,7
"00/17/2010 18:38:36",314.61,4
"00/17/2010 18:38:37",235.15,0
"00/17/2010 18:38:38",266.96,0
"00/17/2010 18:38:39",257.66,0
"00/17/2010 18:38:40",270.67,0
"00/17/2010 18:38:41",364.56,0
"00/17/2010 18:38:42",348.66,1
"00/17/2010 18:38:43",285.43,0
"00/17/2010 18:38:44",294.60,0
"00/17/2010 18:38:45",221.90,0
"00/17/2010 18:38:46",343.33,3
"00/17/2010 18:38:47",294.60,1
"00/17/2010 18:38:48",231.37,4
"00/17/2010 18:38:50",310.99,15
"00/17/2010 18:38:51",266.96,22
"00/17/2010 18:38:52",244.56,11
"00/17/2010 18:38:53",292.77,14
"00/17/2010 18:38:54",345.11,13
"00/17/2010 18:38:55",348.66,1
"00/17/2010 18:38:56",252.06,1
"00/17/2010 18:38:57",309.17,1
"00/17/2010 18:38:58",255.79,0
"00/17/2010 18:38:59",314.61,0
"00/17/2010 18:39:00",314.61,2
"00/17/2010 18:39:01",337.98,0
"00/17/2010 18:39:02",274.37,0
"00/17/2010 18:39:04",298.25,0
"00/17/2010 18:39:05",233.26,0
"00/17/2010 18:39:06",278.07,0
"00/17/2010 18:39:07",278.07,0
"00/17/2010 18:39:08",346.88,0
"00/17/2010 18:39:09",309.17,2
"00/17/2010 18:39:10",327.23,0
