time,light,"temperature probe"
"11/5/2009 14:57:33",225.69,9.3281
"11/5/2009 14:57:34",220.00,9.3281
"11/5/2009 14:57:35",212.38,9.3281
"11/5/2009 14:57:36",223.80,9.3281
"11/5/2009 14:57:37",216.19,9.3281
"11/5/2009 14:57:38",218.10,9.3281
"11/5/2009 14:57:39",221.90,9.3281
"11/5/2009 14:57:40",218.10,9.3281
"11/5/2009 14:57:41",216.19,9.3281
"11/5/2009 14:57:42",216.19,9.3281
"11/5/2009 14:57:43",221.90,9.3281
"11/5/2009 14:57:44",216.19,9.3281
"11/5/2009 14:57:45",218.10,9.3281
"11/5/2009 14:57:46",214.29,9.3281
"11/5/2009 14:57:47",218.10,9.3281
"11/5/2009 14:57:48",218.10,9.3281
"11/5/2009 14:57:50",221.90,9.3281
"11/5/2009 14:57:51",216.19,9.3281
"11/5/2009 14:57:52",218.10,9.3281
"11/5/2009 14:57:53",218.10,9.3281
"11/5/2009 14:57:54",223.80,9.3281
"11/5/2009 14:57:55",223.80,9.3281
"11/5/2009 14:57:56",221.90,9.44055
"11/5/2009 14:57:57",223.80,9.44055
"11/5/2009 14:57:58",218.10,9.44055
"11/5/2009 14:57:59",218.10,9.44055
"11/5/2009 14:58:00",223.80,9.44055
"11/5/2009 14:58:01",221.90,9.44055
"11/5/2009 14:58:02",218.10,9.44055
"11/5/2009 14:58:03",218.10,9.44055
"11/5/2009 14:58:04",223.80,9.44055
"11/5/2009 14:58:06",221.90,9.44055
"11/5/2009 14:58:07",218.10,9.44055
"11/5/2009 14:58:08",220.00,9.44055
"11/5/2009 14:58:09",221.90,9.44055
"11/5/2009 14:58:10",223.80,9.44055
"11/5/2009 14:58:11",218.10,9.44055
"11/5/2009 14:58:12",216.19,9.44055
"11/5/2009 14:58:13",220.00,9.44055
"11/5/2009 14:58:14",223.80,9.44055
"11/5/2009 14:58:15",220.00,9.44055
"11/5/2009 14:58:16",216.19,9.44055
"11/5/2009 14:58:17",223.80,9.44055
"11/5/2009 14:58:18",223.80,9.44055
"11/5/2009 14:58:19",212.38,9.44055
"11/5/2009 14:58:20",218.10,9.44055
"11/5/2009 14:58:22",223.80,9.44055
"11/5/2009 14:58:23",218.10,9.44055
"11/5/2009 14:58:24",214.29,9.44055
"11/5/2009 14:58:25",221.90,9.44055
"11/5/2009 14:58:26",220.00,9.44055
"11/5/2009 14:58:27",216.19,9.44055
"11/5/2009 14:58:28",220.00,9.5530
"11/5/2009 14:58:29",223.80,9.5530
"11/5/2009 14:58:30",216.19,9.5530
"11/5/2009 14:58:31",216.19,9.5530
"11/5/2009 14:58:32",221.90,9.5530
"11/5/2009 14:58:33",216.19,9.5530
"11/5/2009 14:58:34",218.10,9.5530
"11/5/2009 14:58:35",216.19,9.5530
"11/5/2009 14:58:36",223.80,9.5530
"11/5/2009 14:58:38",220.00,9.5530
"11/5/2009 14:58:39",214.29,9.5530
"11/5/2009 14:58:40",212.38,9.5530
"11/5/2009 14:58:41",223.80,9.5530
"11/5/2009 14:58:42",214.29,9.5530
"11/5/2009 14:58:43",218.10,9.5530
"11/5/2009 14:58:44",218.10,9.5530
"11/5/2009 14:58:45",220.00,9.5530
"11/5/2009 14:58:46",218.10,9.5530
"11/5/2009 14:58:47",218.10,9.5530
"11/5/2009 14:58:48",221.90,9.5530
"11/5/2009 14:58:49",220.00,9.5530
"11/5/2009 14:58:50",218.10,9.5530
"11/5/2009 14:58:51",214.29,9.5530
"11/5/2009 14:58:52",216.19,9.5530
"11/5/2009 14:58:54",220.00,9.5530
"11/5/2009 14:58:55",220.00,9.5530
"11/5/2009 14:58:56",223.80,9.5530
"11/5/2009 14:58:57",221.90,9.5530
"11/5/2009 14:58:58",220.00,9.5530
"11/5/2009 14:58:59",216.19,9.5530
"11/5/2009 14:59:00",220.00,9.5530
"11/5/2009 14:59:01",218.10,9.5530
"11/5/2009 14:59:02",212.38,9.5530
"11/5/2009 14:59:03",216.19,9.5530
"11/5/2009 14:59:04",220.00,9.66545
"11/5/2009 14:59:05",218.10,9.66545
"11/5/2009 14:59:06",220.00,9.66545
"11/5/2009 14:59:07",223.80,9.66545
"11/5/2009 14:59:08",221.90,9.66545
"11/5/2009 14:59:09",223.80,9.66545
"11/5/2009 14:59:11",218.10,9.66545
"11/5/2009 14:59:12",223.80,9.66545
"11/5/2009 14:59:13",214.29,9.66545
"11/5/2009 14:59:14",216.19,9.66545
"11/5/2009 14:59:15",223.80,9.66545
"11/5/2009 14:59:16",221.90,9.66545
"11/5/2009 14:59:17",218.10,9.66545
"11/5/2009 14:59:18",221.90,9.66545
"11/5/2009 14:59:19",221.90,9.66545
"11/5/2009 14:59:20",220.00,9.66545
"11/5/2009 14:59:21",218.10,9.66545
"11/5/2009 14:59:22",218.10,9.66545
"11/5/2009 14:59:23",223.80,9.66545
"11/5/2009 14:59:24",220.00,9.66545
"11/5/2009 14:59:25",223.80,9.66545
"11/5/2009 14:59:27",223.80,9.66545
"11/5/2009 14:59:28",218.10,9.66545
"11/5/2009 14:59:29",220.00,9.66545
"11/5/2009 14:59:30",220.00,9.66545
"11/5/2009 14:59:31",218.10,9.66545
"11/5/2009 14:59:32",212.38,9.66545
"11/5/2009 14:59:33",225.69,9.66545
