time,ext
"Jun 26 2009 15:01:19",16.75
"Jun 26 2009 15:01:20",16.30
"Jun 26 2009 15:01:21",15.85
"Jun 26 2009 15:01:22",15.85
"Jun 26 2009 15:01:23",15.40
"Jun 26 2009 15:01:24",15.85
"Jun 26 2009 15:01:25",14.95
"Jun 26 2009 15:01:26",13.60
"Jun 26 2009 15:01:27",13.15
"Jun 26 2009 15:01:28",14.05
"Jun 26 2009 15:01:29",14.50
"Jun 26 2009 15:01:30",14.95
"Jun 26 2009 15:01:32",14.95
"Jun 26 2009 15:01:33",15.85
"Jun 26 2009 15:01:34",17.20
"Jun 26 2009 15:01:35",17.65
"Jun 26 2009 15:01:36",18.10
"Jun 26 2009 15:01:37",19.00
"Jun 26 2009 15:01:38",19.45
"Jun 26 2009 15:01:39",19.90
"Jun 26 2009 15:01:40",20.35
"Jun 26 2009 15:01:41",19.90
"Jun 26 2009 15:01:42",19.90
"Jun 26 2009 15:01:43",20.35
"Jun 26 2009 15:01:45",20.35
"Jun 26 2009 15:01:46",20.35
"Jun 26 2009 15:01:47",20.35
"Jun 26 2009 15:01:48",20.80
"Jun 26 2009 15:01:49",20.80
"Jun 26 2009 15:01:50",20.35
"Jun 26 2009 15:01:51",20.80
"Jun 26 2009 15:01:52",20.80
"Jun 26 2009 15:01:53",20.80
"Jun 26 2009 15:01:54",20.80
"Jun 26 2009 15:01:55",20.80
"Jun 26 2009 15:01:56",20.80
"Jun 26 2009 15:01:58",20.80
"Jun 26 2009 15:01:59",20.80
"Jun 26 2009 15:02:00",20.80
"Jun 26 2009 15:02:01",20.80
"Jun 26 2009 15:02:02",20.80
"Jun 26 2009 15:02:03",20.80
"Jun 26 2009 15:02:04",21.25
"Jun 26 2009 15:02:05",21.25
"Jun 26 2009 15:02:06",21.25
"Jun 26 2009 15:02:07",21.25
"Jun 26 2009 15:02:08",21.25
"Jun 26 2009 15:02:09",21.25
"Jun 26 2009 15:02:11",21.25
"Jun 26 2009 15:02:12",21.25
"Jun 26 2009 15:02:13",21.25
"Jun 26 2009 15:02:14",21.25
"Jun 26 2009 15:02:15",21.25
"Jun 26 2009 15:02:16",21.70
"Jun 26 2009 15:02:17",21.70
"Jun 26 2009 15:02:18",21.25
"Jun 26 2009 15:02:19",21.70
"Jun 26 2009 15:02:20",21.25
"Jun 26 2009 15:02:21",21.70
"Jun 26 2009 15:02:22",21.25
"Jun 26 2009 15:02:23",21.70
"Jun 26 2009 15:02:25",21.70
"Jun 26 2009 15:02:26",21.25
"Jun 26 2009 15:02:27",21.25
"Jun 26 2009 15:02:28",21.25
"Jun 26 2009 15:02:29",21.25
"Jun 26 2009 15:02:30",21.25
"Jun 26 2009 15:02:31",21.70
"Jun 26 2009 15:02:32",21.25
"Jun 26 2009 15:02:33",21.25
"Jun 26 2009 15:02:34",21.25
"Jun 26 2009 15:02:35",21.70
"Jun 26 2009 15:02:36",21.25
"Jun 26 2009 15:02:38",21.25
"Jun 26 2009 15:02:39",21.25
"Jun 26 2009 15:02:40",21.25
"Jun 26 2009 15:02:41",21.25
"Jun 26 2009 15:02:42",21.25
"Jun 26 2009 15:02:43",21.25
"Jun 26 2009 15:02:44",21.25
"Jun 26 2009 15:02:45",21.25
"Jun 26 2009 15:02:46",21.25
"Jun 26 2009 15:02:47",21.25
"Jun 26 2009 15:02:48",21.25
"Jun 26 2009 15:02:49",21.70
"Jun 26 2009 15:02:51",21.25
"Jun 26 2009 15:02:52",21.25
"Jun 26 2009 15:02:53",21.25
"Jun 26 2009 15:02:54",21.25
"Jun 26 2009 15:02:55",21.25
"Jun 26 2009 15:02:56",21.70
