time,latitude,longitude,light,acceleration,altitude,pedometer
04/08/2010 10:28:44,42.78734,-71.10709,14.65,1.02,53,0
04/08/2010 10:28:45,42.78734,-71.10709,6.29,1.02,53,0
04/08/2010 10:28:46,42.78734,-71.10709,2.10,1.02,53,0
04/08/2010 10:28:47,42.78734,-71.10709,2.10,1.02,53,0
04/08/2010 10:28:49,42.78731,-71.10709,2.10,1.17,54,2
04/08/2010 10:28:50,42.78731,-71.10709,10.47,1.02,54,1
04/08/2010 10:28:51,42.78734,-71.10709,10.47,0.90,54,0
04/08/2010 10:28:52,42.787354,-71.10708,18.82,1.02,55,1
04/08/2010 10:28:53,42.787354,-71.10708,33.35,0.94,56,0
04/08/2010 10:28:55,42.78737,-71.10706,47.80,0.98,57,0
04/08/2010 10:28:56,42.78737,-71.10706,43.68,0.78,58,0
04/08/2010 10:28:57,42.78737,-71.10705,18.82,1.05,58,0
04/08/2010 10:28:58,42.78737,-71.10705,8.38,1.21,59,0
04/08/2010 10:28:59,42.78737,-71.10705,12.56,0.94,59,1
04/08/2010 10:29:01,42.787388,-71.10703,12.56,1.25,60,1
04/08/2010 10:29:02,42.787388,-71.10705,12.56,1.09,59,2
04/08/2010 10:29:03,42.787388,-71.10703,10.47,0.90,60,1
04/08/2010 10:29:04,42.78737,-71.10705,8.38,1.02,58,0
04/08/2010 10:29:05,42.78737,-71.10706,6.29,1.05,61,0
04/08/2010 10:29:07,42.78737,-71.10706,8.38,0.94,61,0
04/08/2010 10:29:08,42.78737,-71.10706,2.10,0.90,61,1
04/08/2010 10:29:09,42.787354,-71.10706,0.00,0.86,61,0
04/08/2010 10:29:10,42.787354,-71.10706,0.00,0.86,62,0
04/08/2010 10:29:11,42.787354,-71.10706,0.00,1.05,62,0
04/08/2010 10:29:13,42.787354,-71.10706,2.10,0.94,63,0
04/08/2010 10:29:14,42.787354,-71.10706,12.56,0.90,63,0
04/08/2010 10:29:15,42.787354,-71.10706,20.90,0.94,63,0
04/08/2010 10:29:16,42.78737,-71.10706,22.98,0.90,63,0
04/08/2010 10:29:17,42.787388,-71.10706,29.21,0.90,63,0
04/08/2010 10:29:19,42.787388,-71.10706,14.65,0.82,64,0
04/08/2010 10:29:20,42.787388,-71.10706,10.47,0.98,63,2
04/08/2010 10:29:21,42.787388,-71.10706,20.90,0.82,63,2
04/08/2010 10:29:22,42.787388,-71.10706,8.38,0.98,61,2
04/08/2010 10:29:23,42.787388,-71.10706,8.38,0.98,61,1
04/08/2010 10:29:25,42.787403,-71.10706,2.10,0.98,60,1
04/08/2010 10:29:26,42.787388,-71.10706,2.10,1.05,58,3
04/08/2010 10:29:27,42.787388,-71.10705,0.00,1.05,57,2
04/08/2010 10:29:28,42.78737,-71.10706,6.29,1.37,55,4
04/08/2010 10:29:29,42.78737,-71.10706,8.38,1.02,54,2
04/08/2010 10:29:31,42.78737,-71.10706,12.56,1.09,54,2
