time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe"
"10/15/2009 14:44:43",42.904068,-71.07217,0.98,12.56,-15.53,0,27.7699
"10/15/2009 14:44:44",42.903915,-71.07222,1.02,12.56,-15.53,0,27.7699
"10/15/2009 14:44:45",42.903767,-71.072266,0.94,12.56,-15.53,0,27.88235
"10/15/2009 14:44:46",42.903614,-71.07231,0.98,12.56,-15.53,0,27.88235
"10/15/2009 14:44:47",42.903465,-71.072365,0.98,12.56,-15.53,0,27.88235
"10/15/2009 14:44:48",42.90332,-71.07242,0.98,12.56,-15.53,0,27.88235
"10/15/2009 14:44:49",42.903164,-71.07247,1.02,12.56,-15.53,0,27.88235
"10/15/2009 14:44:50",42.903034,-71.07252,1.05,12.56,-15.21,0,27.88235
"10/15/2009 14:44:51",42.902798,-71.072586,1.02,12.56,-15.21,0,27.88235
"10/15/2009 14:44:52",42.902718,-71.07262,0.98,12.56,-15.21,0,27.88235
"10/15/2009 14:44:53",42.902653,-71.07263,0.98,14.65,-15.21,0,27.88235
"10/15/2009 14:44:55",42.902622,-71.07262,0.94,12.56,-15.21,0,27.9948
"10/15/2009 14:44:56",42.90258,-71.0726,0.94,14.65,-15.21,0,27.9948
"10/15/2009 14:44:57",42.902546,-71.07255,1.02,14.65,-15.21,0,27.9948
"10/15/2009 14:44:58",42.902546,-71.07252,0.98,14.65,-15.21,0,27.9948
"10/15/2009 14:44:59",42.902565,-71.07249,0.94,14.65,-15.21,0,27.9948
"10/15/2009 14:45:00",42.90258,-71.07247,0.94,14.65,-15.21,0,27.9948
"10/15/2009 14:45:01",42.90258,-71.07247,0.98,14.65,-15.21,0,27.9948
"10/15/2009 14:45:02",42.902596,-71.07247,0.94,14.65,-15.21,0,27.9948
"10/15/2009 14:45:03",42.902596,-71.07247,0.98,14.65,-15.21,0,27.9948
"10/15/2009 14:45:04",42.902596,-71.07247,0.98,14.65,-15.21,0,27.9948
"10/15/2009 14:45:05",42.902596,-71.07249,1.02,14.65,-14.88,0,27.9948
"10/15/2009 14:45:06",42.902596,-71.0725,0.98,14.65,-14.88,0,27.9948
"10/15/2009 14:45:07",42.902596,-71.07249,1.02,12.56,-14.88,0,27.9948
"10/15/2009 14:45:09",42.902622,-71.0725,0.98,12.56,-14.88,0,27.9948
"10/15/2009 14:45:10",42.902637,-71.0725,0.98,12.56,-14.88,0,27.9948
"10/15/2009 14:45:11",42.902637,-71.07252,0.98,12.56,-14.88,0,27.9948
"10/15/2009 14:45:12",42.902637,-71.07252,0.98,12.56,-14.88,0,27.9948
"10/15/2009 14:45:13",42.902637,-71.07252,0.98,12.56,-14.88,0,27.9948
"10/15/2009 14:45:14",42.902637,-71.07252,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:15",42.902637,-71.07253,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:16",42.902637,-71.07253,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:17",42.902637,-71.07253,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:18",42.902637,-71.07253,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:19",,,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:19",42.902622,-71.07255,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:21",42.902622,-71.07255,0.98,12.56,-14.88,0,28.10725
"10/15/2009 14:45:22",42.902622,-71.07255,0.98,12.56,-14.88,0,28.10725
