time,latitude,longitude,acceleration,light,temperature,sound,"cricket temperature probe",altitude
"3/30/2128 20:00:00",,,0.94,812.42,20.24,7,16.0751,60000
"3/30/2128 20:00:00",,,0.90,816.06,20.24,0,16.0751,60000
"3/30/2128 20:00:00",,,0.94,817.27,20.24,0,15.96265,60000
"3/30/2128 20:00:00",,,0.94,814.85,20.24,0,15.96265,60000
"3/30/2128 20:00:00",,,0.90,816.06,20.24,0,15.96265,60000
"4/7/2000 20:03:34",-55.6,-2.9410114,0.00,831.66,20.89,0,16.18755,64748
"3/30/2128 20:00:00",,,0.90,825.70,20.89,1,16.0751,60000
"3/30/2128 20:00:00",,,0.98,819.69,20.89,0,16.5249,60000
"3/30/2128 20:00:00",,,1.45,823.30,21.21,0,16.86225,60000
"3/30/2128 20:00:00",,,0.86,832.85,21.21,0,16.7498,60000
"3/30/2128 20:00:00",,,1.02,817.27,21.21,0,16.5249,60000
"3/30/2128 20:00:00",,,0.90,824.50,21.21,0,16.18755,60000
"3/30/2128 20:00:00",,,0.70,825.70,21.53,0,15.96265,60000
"3/30/2128 20:00:00",,,0.82,819.69,21.53,0,15.73775,60000
"3/30/2128 20:00:00",,,0.98,819.69,21.53,0,15.51285,60000
"3/30/2128 20:00:00",,,1.02,817.27,21.53,0,15.28795,60000
"4/7/2000 20:03:34",-55.6,-2.9410114,0.00,831.66,20.89,0,16.18755,64748
"3/30/2128 20:00:00",,,0.90,825.70,20.89,1,16.0751,60000
"3/30/2128 20:00:00",,,0.98,819.69,20.89,0,16.5249,60000
"3/30/2128 20:00:00",,,1.45,823.30,21.21,0,16.86225,60000
"3/30/2128 20:00:00",,,0.86,832.85,21.21,0,16.7498,60000
"3/30/2128 20:00:00",,,1.02,817.27,21.21,0,16.5249,60000
"3/30/2128 20:00:00",,,0.90,824.50,21.21,0,16.18755,60000
"3/30/2128 20:00:00",,,0.70,825.70,21.53,0,15.96265,60000
"3/30/2128 20:00:00",,,0.82,819.69,21.53,0,15.73775,60000
"3/30/2128 20:00:00",,,0.98,819.69,21.53,0,15.51285,60000
"3/30/2128 20:00:00",,,1.02,817.27,21.53,0,15.28795,60000
"4/7/2000 22:11:52",-55.6,-2.946132,0.00,813.64,21.21,0,13.3763,65521
"3/30/2128 20:00:00",,,1.02,814.85,21.53,0,13.26385,60000
"3/30/2128 20:00:00",,,0.70,814.85,21.21,0,13.03895,60000
"3/30/2128 20:00:00",,,0.86,814.85,21.21,0,12.9265,60000
"3/30/2128 20:00:00",,,1.17,814.85,21.21,0,12.81405,60000
"3/30/2128 20:00:00",,,1.05,814.85,21.21,0,12.7016,60000
"3/30/2128 20:00:00",,,0.98,814.85,21.53,0,12.58915,60000
"3/30/2128 20:00:00",,,0.94,829.28,21.53,0,12.4767,60000
"3/30/2128 20:00:00",,,0.98,829.28,21.86,0,12.36425,60000
"3/30/2128 20:00:00",,,1.21,823.30,21.86,0,12.36425,60000
"3/30/2128 20:00:00",,,0.86,830.47,21.86,0,12.36425,60000
"4/7/2000 22:11:52",-55.6,-2.946132,0.00,813.64,21.21,0,13.3763,65521
"3/30/2128 20:00:00",,,1.02,814.85,21.53,0,13.26385,60000
"3/30/2128 20:00:00",,,0.70,814.85,21.21,0,13.03895,60000
"3/30/2128 20:00:00",,,0.86,814.85,21.21,0,12.9265,60000
"3/30/2128 20:00:00",,,1.17,814.85,21.21,0,12.81405,60000
"3/30/2128 20:00:00",,,1.05,814.85,21.21,0,12.7016,60000
"3/30/2128 20:00:00",,,0.98,814.85,21.53,0,12.58915,60000
"3/30/2128 20:00:00",,,0.94,829.28,21.53,0,12.4767,60000
"3/30/2128 20:00:00",,,0.98,829.28,21.86,0,12.36425,60000
"3/30/2128 20:00:00",,,1.21,823.30,21.86,0,12.36425,60000
"3/30/2128 20:00:00",,,0.86,830.47,21.86,0,12.36425,60000
"4/7/2000 23:11:48",-55.6,-2.940585,0.00,817.27,21.86,1,12.4767,65260
"3/30/2128 20:00:00",,,0.59,816.06,21.86,1,12.58915,60000
"3/30/2128 20:00:00",,,1.25,814.85,22.18,1,12.7016,60000
"3/30/2128 20:00:00",,,1.17,809.98,22.18,0,12.7016,60000
"3/30/2128 20:00:00",,,0.78,808.76,21.86,1,12.7016,60000
"3/30/2128 20:00:00",,,0.66,814.85,22.18,1,12.81405,60000
"3/30/2128 20:00:00",,,0.90,814.85,22.18,0,12.81405,60000
"3/30/2128 20:00:00",,,0.86,814.85,22.18,1,12.81405,60000
"3/30/2128 20:00:00",,,1.02,814.85,22.18,2,12.81405,60000
"3/30/2128 20:00:00",,,0.86,814.85,22.18,2,12.7016,60000
"3/30/2128 20:00:00",,,0.94,814.85,22.18,2,12.7016,60000
"4/7/2000 23:11:48",-55.6,-2.940585,0.00,817.27,21.86,1,12.4767,65260
"3/30/2128 20:00:00",,,0.59,816.06,21.86,1,12.58915,60000
"3/30/2128 20:00:00",,,1.25,814.85,22.18,1,12.7016,60000
"3/30/2128 20:00:00",,,1.17,809.98,22.18,0,12.7016,60000
"3/30/2128 20:00:00",,,0.78,808.76,21.86,1,12.7016,60000
"3/30/2128 20:00:00",,,0.66,814.85,22.18,1,12.81405,60000
"3/30/2128 20:00:00",,,0.90,814.85,22.18,0,12.81405,60000
"3/30/2128 20:00:00",,,0.86,814.85,22.18,1,12.81405,60000
"3/30/2128 20:00:00",,,1.02,814.85,22.18,2,12.81405,60000
"3/30/2128 20:00:00",,,0.86,814.85,22.18,2,12.7016,60000
"3/30/2128 20:00:00",,,0.94,814.85,22.18,2,12.7016,60000
"4/8/2000 00:35:44",-55.6,-2.946558,0.00,814.85,21.86,2,12.81405,65514
"3/30/2128 20:00:00",,,0.78,814.85,21.86,2,12.81405,60000
"3/30/2128 20:00:00",,,0.98,814.85,21.86,2,12.81405,60000
"3/30/2128 20:00:00",,,0.70,822.10,21.86,2,12.81405,60000
"3/30/2128 20:00:00",,,0.90,817.27,21.86,2,12.9265,60000
"3/30/2128 20:00:00",,,0.98,822.10,21.86,3,12.9265,60000
"3/30/2128 20:00:00",,,0.66,830.47,21.86,3,13.03895,60000
"3/30/2128 20:00:00",,,0.86,832.85,21.86,3,13.1514,60000
"3/30/2128 20:00:00",,,0.98,812.42,21.86,4,13.1514,60000
"3/30/2128 20:00:00",,,0.66,822.10,21.86,3,13.1514,60000
